gene_id,pfam,length,sequence_id,strand,alignment_length,evalue,bit_score,identity,query_start,query_end,subject_start,subject_end,coverage,some_ratio,gaps,mismatches,q_len,s_len,frame,alignment_identity,score,category,description_1,description_2,description_3
DUF7547,PF24414.2,208,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.7,10.3,4.7,3,3,2.6,6.1e+03,-2.6,0.0,95,122,470,497,446,499,0.78,Family,of,unknown,function
CBM_5_12,PF02839.20,44,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,3.2,8.3,5.0,1,2,0.00024,0.55,10.8,0.8,13,30,240,258,224,260,0.90,Carbohydrate-binding,module,family,5/12
CBM_5_12,PF02839.20,44,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,3.2,8.3,5.0,2,2,5,1.2e+04,-3.1,0.2,4,13,339,348,338,348,0.82,Carbohydrate-binding,module,family,5/12
SpoOE-like,PF09388.16,42,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,7.3,7.1,5.5,1,2,0.0022,5.1,7.6,0.5,1,15,368,382,368,387,0.90,Spo0E,like,sporulation,regulatory
SpoOE-like,PF09388.16,42,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,7.3,7.1,5.5,2,2,0.22,5.2e+02,1.2,0.5,3,15,416,428,415,435,0.85,Spo0E,like,sporulation,regulatory
Trypsin_2,PF13365.13,145,PP871897_NA_astro-vt-179_Sus-scrofa-domesticus_2015,-,435,4.8e-11,44.1,0.1,1,1,2.6e-14,1.3e-10,42.6,0.1,1,145,294,414,294,414,0.77,Trypsin-like,peptidase,domain,
Peptidase_S32,PF05579.20,297,PP871897_NA_astro-vt-179_Sus-scrofa-domesticus_2015,-,435,3.2e-05,23.8,0.1,1,1,1.3e-08,6.8e-05,22.7,0.1,125,238,301,429,280,434,0.69,Equine,arteritis,virus,serine
Astro_1A,PF19415.4,244,PP871897_NA_astro-vt-179_Sus-scrofa-domesticus_2015,-,435,7.2e-05,23.1,5.2,1,1,2e-08,0.0001,22.6,5.2,72,226,94,248,78,265,0.83,Astrovirus,transmembrane,protein,1A
Peptidase_C3,PF00548.27,166,PP871897_NA_astro-vt-179_Sus-scrofa-domesticus_2015,-,435,0.0039,17.7,0.0,1,1,2.1e-06,0.011,16.3,0.0,129,166,382,420,371,420,0.89,3C,cysteine,protease,(picornain
Trypsin,PF00089.33,220,PP871897_NA_astro-vt-179_Sus-scrofa-domesticus_2015,-,435,0.016,15.5,0.3,1,2,0.00045,2.3,8.5,0.0,27,62,294,328,279,354,0.71,Trypsin,,,
Trypsin,PF00089.33,220,PP871897_NA_astro-vt-179_Sus-scrofa-domesticus_2015,-,435,0.016,15.5,0.3,2,2,0.006,31,4.8,0.1,175,202,395,422,381,434,0.78,Trypsin,,,
Astro_1A,PF19415.4,244,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,7.3e-16,59.1,8.3,1,1,2.6e-19,1.3e-15,58.3,8.3,73,243,256,425,252,426,0.93,Astrovirus,transmembrane,protein,1A
SLATT_5,PF18160.7,190,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,0.0011,18.9,0.7,1,2,4.2e-07,0.0021,17.9,0.0,70,183,149,269,132,272,0.79,SMODS,and,SLOG-associating,2TM
SLATT_5,PF18160.7,190,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,0.0011,18.9,0.7,2,2,1.3,6.8e+03,-3.3,0.2,167,189,356,378,341,379,0.65,SMODS,and,SLOG-associating,2TM
Astro_p19,PF19414.4,174,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,0.14,12.1,0.0,1,1,6.2e-05,0.32,10.9,0.0,9,149,5,141,2,165,0.67,Astrovirus,p19,protein,
DUF1125,PF06563.18,66,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,0.14,13.2,0.0,1,1,6e-05,0.31,12.1,0.0,18,47,107,136,99,139,0.92,Protein,of,unknown,function
S_4TM,PF18159.7,291,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,1.5,8.5,5.7,1,2,0.013,65,3.1,0.0,115,150,211,247,191,253,0.79,SMODS-associating,4TM,effector,domain
S_4TM,PF18159.7,291,PP871887_NA_astro-vt-169_Sus-scrofa-domesticus_2014,-,456,1.5,8.5,5.7,2,2,0.0023,12,5.6,2.3,30,83,298,351,269,356,0.79,SMODS-associating,4TM,effector,domain
Astro_1A,PF19415.4,244,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,3e-16,60.4,5.6,1,1,3.5e-19,5.2e-16,59.6,5.6,73,243,259,428,237,429,0.89,Astrovirus,transmembrane,protein,1A
Trypsin_2,PF13365.13,145,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,9.1e-13,49.7,0.3,1,2,0.1,1.5e+02,3.5,0.0,10,61,65,110,59,146,0.78,Trypsin-like,peptidase,domain,
Trypsin_2,PF13365.13,145,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,9.1e-13,49.7,0.3,2,2,3.7e-14,5.6e-11,43.9,0.1,1,145,460,579,460,579,0.86,Trypsin-like,peptidase,domain,
Peptidase_S32,PF05579.20,297,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.00045,20.0,0.8,1,1,5.9e-07,0.00089,19.0,0.8,126,228,468,583,448,599,0.73,Equine,arteritis,virus,serine
Astro_p19,PF19414.4,174,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.0006,19.8,0.0,1,1,9.4e-07,0.0014,18.6,0.0,8,163,7,157,1,169,0.76,Astrovirus,p19,protein,
Peptidase_C3,PF00548.27,166,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.0054,17.2,0.1,1,1,9.4e-06,0.014,15.8,0.1,128,165,546,584,536,585,0.87,3C,cysteine,protease,(picornain
ADIP,PF11559.14,151,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.035,14.7,2.1,1,2,0.0055,8.3,7.0,0.2,65,95,108,138,104,144,0.85,Afadin-,and,alpha,-actinin-Binding
ADIP,PF11559.14,151,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.035,14.7,2.1,2,2,0.0064,9.7,6.8,0.1,66,90,606,630,602,666,0.89,Afadin-,and,alpha,-actinin-Binding
Peptidase_S29,PF02907.22,149,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.064,13.5,0.6,1,2,9.3,1.4e+04,-3.8,0.0,60,98,85,122,66,128,0.52,Hepatitis,C,virus,NS3
Peptidase_S29,PF02907.22,149,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.064,13.5,0.6,2,2,0.00012,0.18,12.0,0.1,84,129,544,584,453,600,0.76,Hepatitis,C,virus,NS3
DUF7068,PF23238.2,44,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.12,12.3,0.5,1,1,0.00028,0.41,10.5,0.5,12,34,365,387,359,396,0.85,Domain,of,unknown,function
ABC_tran_CTD,PF16326.11,69,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.15,12.7,1.8,1,2,0.21,3.2e+02,2.1,0.1,29,56,172,197,166,201,0.72,ABC,transporter,C-terminal,domain
ABC_tran_CTD,PF16326.11,69,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.15,12.7,1.8,2,2,0.0014,2.1,9.1,0.2,5,32,603,630,596,636,0.69,ABC,transporter,C-terminal,domain
SLATT_5,PF18160.7,190,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.42,10.5,0.0,1,3,0.00028,0.42,10.5,0.0,69,122,151,204,134,217,0.81,SMODS,and,SLOG-associating,2TM
SLATT_5,PF18160.7,190,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.42,10.5,0.0,2,3,5,7.5e+03,-3.4,0.4,68,77,263,272,250,277,0.56,SMODS,and,SLOG-associating,2TM
SLATT_5,PF18160.7,190,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.42,10.5,0.0,3,3,3.7,5.5e+03,-3.0,0.1,162,189,354,381,345,382,0.69,SMODS,and,SLOG-associating,2TM
DUF5592,PF17332.7,89,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.54,11.2,0.1,1,2,0.00036,0.54,11.2,0.1,37,77,250,286,244,292,0.89,Family,of,unknown,function
DUF5592,PF17332.7,89,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.54,11.2,0.1,2,2,5,7.4e+03,-2.1,0.5,14,50,329,366,324,372,0.63,Family,of,unknown,function
Bap31_Bap29_C,PF18035.7,52,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.68,10.5,5.8,1,2,0.0036,5.4,7.6,0.1,2,24,117,139,116,140,0.96,Bap31/Bap29,cytoplasmic,coiled-coil,domain
Bap31_Bap29_C,PF18035.7,52,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.68,10.5,5.8,2,2,0.075,1.1e+02,3.4,2.2,1,16,613,628,603,631,0.70,Bap31/Bap29,cytoplasmic,coiled-coil,domain
TSC22,PF01166.24,57,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.96,10.1,3.8,1,2,0.053,79,4.0,0.3,22,45,117,140,114,143,0.91,TSC-22/dip/bun,family,,
TSC22,PF01166.24,57,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,0.96,10.1,3.8,2,2,0.0084,13,6.6,0.3,15,34,607,626,605,631,0.87,TSC-22/dip/bun,family,,
Csm1_N,PF18504.7,70,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,4.6,8.2,11.5,1,3,0.014,21,6.1,0.4,37,63,112,138,104,146,0.74,Csm1,N-terminal,domain,
Csm1_N,PF18504.7,70,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,4.6,8.2,11.5,2,3,9.5,1.4e+04,-3.0,0.1,41,59,182,200,173,207,0.65,Csm1,N-terminal,domain,
Csm1_N,PF18504.7,70,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,4.6,8.2,11.5,3,3,0.0025,3.8,8.4,1.3,40,63,605,628,602,632,0.85,Csm1,N-terminal,domain,
HH_AprE,PF25994.1,191,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,5.5,7.5,5.4,1,2,0.18,2.6e+02,2.1,0.1,77,104,112,139,106,144,0.85,"AprE,",long,alpha-helical,hairpin
HH_AprE,PF25994.1,191,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,5.5,7.5,5.4,2,2,0.0058,8.7,6.9,1.4,74,96,606,628,604,631,0.77,"AprE,",long,alpha-helical,hairpin
