"ID","Version","GenBank.title","Release.date","Organism.name","Virus.Lineage","Species","Family","Length","Submitters","Strain","Isolate_x","Geo.location","Country","Collection.date","Tissue.Specimen.Source","Host","Environmental","CDS.count","Artificial","UNVERIFIED","X1A","X1A.strand","X1B","X1B.strand","X2","X2.strand","class","clade_color","color"
"OR134522","OR134522.1","Duck astrovirus strain GDE-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","GDE-2022","","China",NA,"29-Oct-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134521","OR134521.1","Duck astrovirus strain GDD-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","GDD-2022","","China",NA,"22-Oct-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134520","OR134520.1","Duck astrovirus strain GDC-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","GDC-2022","","China",NA,"15-Oct-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134519","OR134519.1","Duck astrovirus strain GDB-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","GDB-2022","","China",NA,"12-Oct-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134518","OR134518.1","Duck astrovirus strain GDA-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","GDA-2022","","China",NA,"15-Aug-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"PV093029","PV093029.1","Chicken astrovirus strain WHM13 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7485,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM13","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","10-3430",1,"3411-4971",1,"4995-7209",1,"Mammalia","B",NA
"PV093028","PV093028.1","Chicken astrovirus strain WHM12 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7482,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM12","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","7-3427",1,"3408-4968",1,"4992-7206",1,"Mammalia",NA,NA
"PV093027","PV093027.1","Chicken astrovirus strain WHM11 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7480,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM11","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","10-3430",1,"3411-4971",1,"4995-7209",1,"Mammalia",NA,NA
"PV093026","PV093026.1","Chicken astrovirus strain WHM10 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7485,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM10","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","10-3430",1,"3411-4971",1,"4995-7209",1,"Mammalia",NA,NA
"PV093025","PV093025.1","Chicken astrovirus strain WHM09 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7481,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM09","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","8-3428",1,"3409-4969",1,"4993-7207",1,"Mammalia",NA,NA
"PV093023","PV093023.1","Chicken astrovirus strain WHM05 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6915,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM05","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","69-3039",1,"3107-4559",1,"4578-6618",1,"Mammalia",NA,NA
"PV093022","PV093022.1","Chicken astrovirus strain WHM01 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6919,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM01","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","74-3044",1,"3112-4564",1,"4583-6623",1,"Mammalia","P",NA
"PV093021","PV093021.1","Turkey astrovirus strain WHM13 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Turkey astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6966,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM13","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","0-3300",1,"3284-4829",1,"4847-6860",1,"Mammalia",NA,NA
"PV093020","PV093020.1","Turkey astrovirus strain WHM06 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Turkey astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6922,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM06","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","125-3296",1,"3280-4825",1,"4843-6856",1,"Mammalia",NA,NA
"PV093019","PV093019.1","Turkey astrovirus strain WHM05 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Turkey astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6960,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM05","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","125-3296",1,"3280-4825",1,"4843-6856",1,"Mammalia",NA,NA
"PV093018","PV093018.1","Turkey astrovirus strain WHM01 ORF1a, ORF1b, and capsid protein genes, complete cds","05-MAR-2025","Turkey astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6963,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.","WHM01","","China",NA,"01-Jan-2023","feces","Neogale vison","No",3,"No","No","126-3297",1,"3281-4826",1,"4844-6857",1,"Mammalia","B",NA
"PQ740944","PQ740944.1","Goose astrovirus isolate CH/HBXT/2022, complete genome","09-FEB-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7158,"Li,X.Y., Liu,J.J., Li,Y., Yang,P.P. and Zhao,J.","","CH/HBXT/2022","China",NA,"2022","kidney","Goose","No",3,"No","No","0-3255",1,"3245-4796",1,"4814-6929",1,"Aves",NA,NA
"PP786658","PP786658.1","Goose astrovirus isolate JY202323, complete genome","03-FEB-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7252,"Wang,A., Wu,Z., Xie,J. and Feng,Q.","","JY202323","China",NA,"03-Feb-2023","","Goose","No",3,"No","No","22-3304",1,"3294-4839",1,"4868-6983",1,"Aves",NA,NA
"PQ893528","PQ893528.1","MAG: Avastrovirus isolate NSW/2021 genomic sequence","28-JAN-2025","Avastrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae","","Astroviridae",6894,"Jenns,K., Eden,J.-S., Olsson,A. and Phalen,D.","","NSW/2021","Australia",NA,"Jan-2021","intestines","Eolophus roseicapilla","Yes",3,"No","No","13-3109",1,"3135-4605",1,"4623-6681",1,"Aves",NA,NA
"PQ893527","PQ893527.1","MAG: Avastrovirus isolate QLD/2021 genomic sequence","28-JAN-2025","Avastrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae","","Astroviridae",6773,"Jenns,K., Eden,J.-S., Olsson,A. and Phalen,D.","","QLD/2021","Australia",NA,"Jan-2021","intestines","Alisterus scapularis","Yes",3,"No","No","0-2940",1,"2936-4460",1,"4478-6515",1,"Aves","P",NA
"PQ552759","PQ552759.1","Goose astrovirus 2 strain GD2406, complete genome","26-NOV-2024","Goose astrovirus 2","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7183,"Sun,R. and Liu,H.","GD2406","","China",NA,"2024","","Duck","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"PQ435198","PQ435198.1","Goose astrovirus 2 strain JL2309, complete genome","26-OCT-2024","Goose astrovirus 2","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7183,"Lin,Z. and Liu,H.","JL2309","","China",NA,"2023","tissue","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"PQ220257","PQ220257.1","MAG: Avastrovirus sp. isolate ASTV-1 ORF1a gene, partial cds; ORF1b gene, complete cds; and capsid protein gene, partial cds","09-OCT-2024","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",5677,"Sun,Y. and Yang,S.","","ASTV-1","China: Shigatse City, Tibet",NA,"2020-12","feces","Anser indicus (Bar-headed goose)","Yes",3,"No","No","0-2037",1,"2186-3575",1,"3568-5677",1,"Aves",NA,NA
"PQ308726","PQ308726.1","Goose astrovirus isolate GAstV_GDFS_Goose_2024, complete genome","05-OCT-2024","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6947,"Xu,P.","","GAstV_GDFS_Goose_2024","China",NA,"2024","","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"PP382210","PP382210.1","Goose astrovirus isolate J2/2021, complete genome","30-AUG-2024","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7146,"Guo,C. and Zhang,D.B.","","J2/2021","China",NA,"14-Oct-2021","kidney","Jiangnan White Goose","No",3,"No","No","13-3268",1,"3258-4809",1,"4827-6942",1,"Aves",NA,NA
"PP382209","PP382209.1","Goose astrovirus isolate J3/2021, complete genome","30-AUG-2024","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7288,"Gus,C. and Zhang,D.B.","","J3/2021","China",NA,"14-Oct-2021","kidney","Jiangnan White Goose","No",3,"No","No","22-3304",1,"3294-4839",1,"4868-6983",1,"Aves",NA,NA
"PP623814","PP623814.1","Avian avastrovirus 4 isolate MP22-196, complete genome","19-AUG-2024","Avian avastrovirus 4","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","Avastrovirus marecae","Astroviridae",6566,"Ng,Y.M.","","MP22-196","China: Hong Kong",NA,"09-Nov-2022","","Mareca falcata","No",3,"No","No","14-2825",1,"2815-4315",1,"4296-6345",1,"Aves","R",NA
"OR827024","OR827024.1","Goose astrovirus isolate GAstV-JSXZ, complete genome","19-AUG-2024","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7299,"Wei,F., Tang,Y. and Diao,Y.","","GAstV-JSXZ","China",NA,"06-Sep-2022","kidney","Goose","No",3,"No","No","22-3304",1,"3294-4839",1,"4868-6992",1,"Aves",NA,NA
"PP478076","PP478076.1","Avian astrovirus isolate PL_pigeon_24/2023, complete genome","03-AUG-2024","Avian astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6833,"Lukaszuk,E., Dziewulska,D., Custer,J., Kraberger,S., Varsani,A. and Stenzel,T.","","PL_pigeon_24/2023","Poland",NA,"Apr-2023","cloacal swab","Pigeon","No",2,"No","No","12-3027",1,"3026-4550",1,"4568-6590",1,"Aves","P",NA
"PP478075","PP478075.1","Avian astrovirus isolate PL_pigeon_4a/2023, complete genome","03-AUG-2024","Avian astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6828,"Lukaszuk,E., Dziewulska,D., Custer,J., Kraberger,S., Varsani,A. and Stenzel,T.","","PL_pigeon_4a/2023","Poland",NA,"May-2023","cloacal swab","Pigeon","No",2,"No","No","5-3014",1,"3013-4537",1,"4555-6565",1,"Aves","P",NA
