PP966939_NA_GZ2301_goose_2023	MZ540211_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	OR902763_NA_NA_goose_2023
PP966939_NA_GZ2301_goose_2023	OL762473_NA_JXGZ_goose_2020
PP966939_NA_GZ2301_goose_2023	OL963556_NA_JSSQ_goose_2020
PP966939_NA_GZ2301_goose_2023	OR902762_NA_NA_goose_2023
PP966939_NA_GZ2301_goose_2023	OP179660_NA_NA_goose_2022
PP966939_NA_GZ2301_goose_2023	OM066895_NA_AAstV-Goose-CHN-2021-ZY02_goose_2021
PP966939_NA_GZ2301_goose_2023	OL963555_NA_JSCZ_goose_2020
PP966939_NA_GZ2301_goose_2023	OR902761_NA_NA_goose_2023
PP966939_NA_GZ2301_goose_2023	OP621341_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	OM066894_NA_AAstV-Goose-CHN-2021-HR2110-1_goose_2021
PP966939_NA_GZ2301_goose_2023	OP020131_NA_NA_50-day-old-Landes-geese_2022
PP966939_NA_GZ2301_goose_2023	OP621340_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	OM066893_NA_AAstV-Goose-CHN-2021-HR2105-2_goose_2021
PP966939_NA_GZ2301_goose_2023	OL536330_NA_HeB-BD1-2020_goose_2020
PP966939_NA_GZ2301_goose_2023	OK571390_NA_JRMS_goose_2020
PP966939_NA_GZ2301_goose_2023	MW592379_NA_HNXX-6-China-2020_goose_2020
PP966939_NA_GZ2301_goose_2023	PP444710_NA_GAstV-GDCS-Goose-2023_goose_2023
PP966939_NA_GZ2301_goose_2023	OP621339_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	OM066892_NA_AAstV-Goose-CHN-2021-HR2105-1_goose_2021
PP966939_NA_GZ2301_goose_2023	OK571389_NA_ZJLD_goose_2020
PP966939_NA_GZ2301_goose_2023	MW592378_NA_HNSQ-6-China-2020_goose_2020
PP966939_NA_GZ2301_goose_2023	MG934571_NA_GD_goose_2017
PP966939_NA_GZ2301_goose_2023	PP444709_NA_GAstV-GXNN-Goose-2023_goose_2023
PP966939_NA_GZ2301_goose_2023	OP621338_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OL853843_NA_HLJ_goose_2019
PP966939_NA_GZ2301_goose_2023	MW592377_NA_HNKF-1-China-2020_goose_2020
PP966939_NA_GZ2301_goose_2023	OP621337_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OM100603_NA_AstV-JS04-Goose-0919-20_goose_2020
PP966939_NA_GZ2301_goose_2023	MW505493_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MZ576222_NA_JX01-China-2021_goose_2021
PP966939_NA_GZ2301_goose_2023	MW345727_NA_SDPD_goose_2019
PP966939_NA_GZ2301_goose_2023	MH052598_NA_NA_goose_2017
PP966939_NA_GZ2301_goose_2023	MN809622_NA_AstV-SDTA_duck_NA
PP966939_NA_GZ2301_goose_2023	OP621336_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OM100602_NA_AstV-JS03-Goose-0702-20_goose_2020
PP966939_NA_GZ2301_goose_2023	MW505492_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MF772821_NA_NA_Lande-geese_2017
PP966939_NA_GZ2301_goose_2023	OR965521_NA_AAstV-Goose-CHN-2023-MG-23_goose_2023
PP966939_NA_GZ2301_goose_2023	OP621335_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	OM100601_NA_AstV-JS02-Goose-0518-20_goose_2020
PP966939_NA_GZ2301_goose_2023	MW505491_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MZ367612_NA_HNNY0620_Muscovy-duck_2020
PP966939_NA_GZ2301_goose_2023	MW413813_NA_XT1_goose_2020
PP966939_NA_GZ2301_goose_2023	OR958817_NA_AAstV-Goose-CHN-2023-HR2306-1_goose_2023
PP966939_NA_GZ2301_goose_2023	OP621334_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	OM100600_NA_AstV-JS01-Goose-0518-20_goose_2020
PP966939_NA_GZ2301_goose_2023	MW505490_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MT934439_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN428645_NA_AHAU5_goose_2018
PP966939_NA_GZ2301_goose_2023	OR906208_NA_HNxy2111_goose_2021
PP966939_NA_GZ2301_goose_2023	OP621333_NA_NA_goose-embryo_2019
PP966939_NA_GZ2301_goose_2023	OM100599_NA_AstV-HN05-Goose-0514-20_goose_2020
PP966939_NA_GZ2301_goose_2023	MW505489_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MT934438_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN428644_NA_AHAU4_goose_2018
PP966939_NA_GZ2301_goose_2023	OR906207_NA_HNxy2106_goose_2021
PP966939_NA_GZ2301_goose_2023	OP946449_NA_GAstV-SDHZ_laying-hens_2022
PP966939_NA_GZ2301_goose_2023	OP621332_NA_NA_goose_2020
PP966939_NA_GZ2301_goose_2023	OM100598_NA_AstV-HN04-Goose-0514-20_goose_2020
PP966939_NA_GZ2301_goose_2023	MW505488_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MT934437_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN428643_NA_AHAU3_goose_2018
PP711188_NA_Hplan-A-304122_Heteronotia-planiceps_2017	PP711188_NA_Hplan-A-304122_Heteronotia-planiceps_2017
MN920670_NA_ybw202ast01_NA_2018	MN920670_NA_ybw202ast01_NA_2018
MW385412_NA_NA_Crow_2017	MW385412_NA_NA_Crow_2017
KT946718_NA_D11-139-HK_house-crow_NA	KT946718_NA_D11-139-HK_house-crow_NA
KT946718_NA_D11-139-HK_house-crow_NA	KT946720_NA_D11-515-HK_house-crow_NA
KT946718_NA_D11-139-HK_house-crow_NA	KT946719_NA_D11-467-HK_house-crow_NA
OQ986679_NA_GEIG_NA_2021	OQ986679_NA_GEIG_NA_2021
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PX237222_NA_pigeon-FSU1_pigeon_2025
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684833_NA_Chicken-NLD-2019-V-M-053-astro-2_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MT585644_NA_VF16-03-164b_Gallus-gallus-broiler-chicken_2016
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KM254166_NA_AstroQ45-2013_chicken_2013
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PV093023_NA_NA_Neogale-vison_2023
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684832_NA_Chicken-NLD-2019-V-M-048-astro-2_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KM985703_NA_VIC-6b_Gallus-gallus_2010
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PV093022_NA_NA_Neogale-vison_2023
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KM985702_NA_VIC-6a_Gallus-gallus_2010
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MN732559_NA_NA_Gallus-gallus-(broiler)_2017
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684829_NA_Chicken-NLD-2019-V-M-041-astro-13_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MN732558_NA_NA_Gallus-gallus-(broiler)_2018
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469237_NA_ANV-PB55-SI14-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684827_NA_Chicken-NLD-2019-V-M-039-astro-3_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469236_NA_ANV-PB5-HI5-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684826_NA_Chicken-NLD-2019-V-M-039-astro-2_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469235_NA_ANV-PB15-HI11-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684825_NA_Chicken-NLD-2019-V-M-038-astro-6_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469234_NA_ANV-PB1-HI5-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684824_NA_Chicken-NLD-2019-V-M-038-astro-5_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469233_NA_ANV-PB11-HI6-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PP871808_NA_astro-vt-90_Gallus-gallus_2015
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469232_NA_ANV-PB7-HI6-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684822_NA_Chicken-NLD-2019-V-M-036-astro-4_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469231_NA_ANV-PB21-SI5-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684821_NA_Chicken-NLD-2019-V-M-034-astro-2_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	HQ889774_NA_NA_pigeon_2010
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PP871798_NA_astro-vt-80_Sus-scrofa-(wild-boar)_2015
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469230_NA_ANV-PB31-SI19-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684820_NA_Chicken-NLD-2019-V-M-033-astro-3_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	HM029238_NA_NA_chicken_2009
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PP871786_NA_astro-vt-68_Gallus-gallus_2014
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OM469229_NA_ANV-PB23-SI7-Switzerland-2019_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684819_NA_Chicken-NLD-2019-V-M-030-astro-12_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MW684818_NA_Chicken-NLD-2019-V-M-015-astro-2_Gallus-gallus-domesticus-(broiler)_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	OQ685945_NA_ANV-ck-TZ-Iringa-2151-IM162-2019_Gallus-gallus_2019
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	ON964512_NA_NA_Gallus-gallus_2020
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KT946725_NA_D10-5628-HK_spotted-dove_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PP478076_NA_PL-pigeon-24-2023_carrier-pigeon_2023
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KT946724_NA_D11-440-HK_feral-pigeon_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	PP478075_NA_PL-pigeon-4a-2023_carrier-pigeon_2023
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KT946723_NA_D11-336-2-HK_spotted-dove_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MZ150559_NA_ANV-Chicken-CHN-2020-AH202017_chicken_2020
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	KT946722_NA_D11-116-HK_spotted-dove_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	HV511037_NA_NA_NA_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	AB033998_NA_NA_NA_NA
MT585643_NA_VF14-92-A2_Gallus-gallus-broiler-chicken_NA	MF768270_NA_NA_pigeon_2014
PP352010_NA_Hunan-CHN-2022_Pelophylax-nigromaculatus_2022	PP352010_NA_Hunan-CHN-2022_Pelophylax-nigromaculatus_2022
OQ986609_NA_RHFU_NA_2021_reverse	OQ986609_NA_RHFU_NA_2021_reverse
MN920667_NA_tom152ast2_NA_2018	MN920667_NA_tom152ast2_NA_2018
MN920667_NA_tom152ast2_NA_2018	MT137999_NA_coa196ast1_NA_2018
OQ986608_NA_RHFU_NA_2021	OQ986608_NA_RHFU_NA_2021
MZ375139_NA_3PE-RDRP-2_Phrynocephalus-erythrurus_2020	MZ375139_NA_3PE-RDRP-2_Phrynocephalus-erythrurus_2020
MN920663_NA_spa143ast1_NA_2018	MN920663_NA_spa143ast1_NA_2018
MN920663_NA_spa143ast1_NA_2018	MT137995_NA_bun145astnc1_NA_2018
MN920663_NA_spa143ast1_NA_2018	MN920668_NA_war204ast1_NA_2018
MK096773_NA_PasAstV-1_Passeriformes_NA	MK096773_NA_PasAstV-1_Passeriformes_NA
OQ986607_NA_GEIG_NA_2021	OQ986607_NA_GEIG_NA_2021
MG599931_NA_NA_Polypedates-megacephalus_NA	MG599931_NA_NA_Polypedates-megacephalus_NA
OQ986677_NA_GEIG_NA_2021	OQ986677_NA_GEIG_NA_2021
MW826371_NA_XZN01_bird_2018	MW826371_NA_XZN01_bird_2018
MG599918_NA_NA_Hemidactylus-bowringii_NA	MG599918_NA_NA_Hemidactylus-bowringii_NA
