Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 5,MW684818/NA/Chicken-NLD-2019-V-M-015-astro-2/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 17.8025032782377, 20, 10, 10, 10, 0, 4, 14, 4, 4, 7.76124051469969, 0, 4, 2, 20, 5, 5, 15,
 5,MW684833/NA/Chicken-NLD-2019-V-M-053-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 6.71171175021981, 10, 5, 0, 10, 0, 0, 0, 0, 8, 5.88663701465779, 0, 2, 0, 10, 0, 0, 20,
 5,MW684819/NA/Chicken-NLD-2019-V-M-030-astro-12/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 5.48578497154253, 0, 0, 5, 0, 0, 8, 18, 8, 0, 6.35212247064252, 0, 0, 1, 0, 2.5, 5, 0,
 6,PP871812/NA/astro-vt-94/Canis-lupus-familiaris/2014,Recombinant, 22.3214484565831, 20, 10, 10, 10, 10, 8, 18, 8, 8, 9.72342606260954, 3.43358395989975, 4, 2, 20, 5, 0, 20,
 6,JF414802/NA/GA2011/chicken/2007,MajorParent, 3.15032002783161, 10, 5, 0, 0, 0, 0, 0, 0, 4, 6.05090829640669, 2.65664160401003, 0, 1, 10, 2.5, 0, 0,
 6,MW588063/NA/NA/NA/NA,MinorParent, 4.52823151558533, 0, 0, 5, 5, 0, 4, 14, 4, 0, 4.22566564098377, 0, 2, 0, 0, 0, 0, 15,
 7,PP871804/NA/astro-vt-86/Canis-lupus-familiaris/2014,Recombinant, 20.1525586297826, 10, 0, 10, 10, 10, 8, 18, 8, 8, 9.98350917881526, 2.65, 4, 2, 20, 5, 5, 20,
 7,OR286522/NA/SDAU2022-1/chicken/2022,MajorParent, 5.55168723860174, 0, 0, 5, 0, 0, 4, 14, 4, 4, 5.55075029754221, 2.225, 0, 1, 0, 2.5, 0, 15,
 7,PV093025/NA/NA/Neogale-vison/2023,MinorParent, 4.29575413161564, 20, 10, 0, 5, 0, 0, 0, 0, 0, 4.46574052364253, 2.05, 2, 0, 10, 0, 0, 0,
 8,MW588063/NA/NA/NA/NA,Recombinant, 14.3204107373057, 20, 10, 10, 0, 0, 8, 18, 8, 8, 4.60625533537987, .498753117206983, 0, 0, 20, 5, 5, 20,
 8,KT886453/NA/CAstV-Poland-G059-2014/Gallus-gallus/2014,MajorParent, 13.6765052324073, 20, 10, 5, 5, 10, 4, 14, 4, 4, 9.39012103501407, 0, 4, 2, 20, 2.5, 0, 15,
 8,OR286521/NA/SDAU2022-2/chicken/2022,MinorParent, 2.00308403028701, 0, 0, 0, 10, 0, 0, 0, 0, 0, 6.00362362960606, 0, 2, 1, 0, 0, 0, 0,
 9,KT886453/NA/CAstV-Poland-G059-2014/Gallus-gallus/2014,Recombinant, 17.9583563182492, 20, 10, 10, 10, 0, 8, 18, 8, 0, 8.22179172122802, 0, 2, 2, 20, 5, 5, 15,
 9,OR351273/NA/JS202103/Gallus-gallus/2021,MajorParent, 6.81803839940143, 20, 10, 0, 0, 10, 0, 0, 0, 4, 5.29380761979313, 0, 4, 0, 10, 0, 0, 20,
 9,MN807051/NA/AAstV-Chicken-CHN-2018-CZ1801/Gallus-gallus/2018,MinorParent, 5.22360528234939, 0, 0, 5, 5, 0, 4, 14, 4, 8, 6.48440065897885, 0, 0, 1, 0, 2.5, 5, 0,
 10,OP272633/NA/AH33-3/goose/2021,Recombinant, 18.309103082451, 20, 10, 10, 0, 5, 0, 0, 8, 0, 10.8294935580577, 0, 4, 2, 20, 5, 0, 20,
 10,EU143843/NA/NA/NA/NA,MajorParent, 3.3210144041666, 0, 5, 5, 0, 5, 0, 0, 4, 4, 3.67696787409664, 1.88585607940447, 2, 1, 0, 2.5, 0, 0,
 10,OR211592/NA/GAstV-HBLY/goose/2023,MinorParent, 8.36988251338236, 20, 0, 0, 0, 5, 0, 0, 0, 8, 5.49353856784567, .645161290322581, 0, 0, 10, 0, 0, 15,
 11,MZ150559/NA/ANV-Chicken-CHN-2020-AH202017/chicken/2020,Recombinant, 12.5311527202252, 0, 5, 10, 10, 0, 4, 18, 8, 0, 7.74857284343177, 0, 2, 2, 0, 0, 0, 15,
 11,PP871808/NA/astro-vt-90/Gallus-gallus/2015,MajorParent, 8.80001791991836, 10, 0, 5, 0, 10, 8, 14, 4, 8, 5.48683362057272, 0, 0, 0, 10, 2.5, 0, 20,
 11,ON964512/NA/NA/Gallus-gallus/2020,MinorParent, 8.66882935985641, 20, 10, 0, 5, 0, 0, 0, 0, 4, 6.76459353599551, 0, 4, 1, 20, 5, 0, 0,
 12,MW684819/NA/Chicken-NLD-2019-V-M-030-astro-12/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 17.8691569419932, 20, 10, 10, 10, 10, 8, 18, 8, 4, 6.80652143222777, .371287128712871, 2, 1, 20, 2.5, 0, 20,
 12,ON964512/NA/NA/Gallus-gallus/2020,MajorParent, 11.2238296211739, 10, 5, 5, 0, 0, 4, 14, 4, 8, 7.5337854655017, .742574257425743, 0, 2, 10, 5, 5, 15,
 12,OM469236/NA/ANV-PB5-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, .907013436832914, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5.65969310227053, .346534653465347, 4, 0, 0, 0, 0, 0,
 13,PP763758/NA/AAstV-Goose-CHN-2023-C102/goose/2023,Recombinant, 18.7199408141736, 20, 5, 10, 10, 0, 8, 18, 8, 4, 7.40744858538438, .567901234567901, 2, 2, 20, 5, 0, 20,
 13,NC_034567/NA/FLX/Hortobagy-goose/2014,MajorParent, 9.37023113826719, 10, 10, 5, 5, 0, 0, 0, 4, 8, 6.79932010485595, 1.30864197530864, 0, 1, 20, 2.5, 0, 0,
 13,OR907133/NA/NA/Goose/2023,MinorParent, 1.90982804755918, 0, 0, 0, 0, 10, 4, 14, 0, 0, 5.79323130975967, 1.18518518518519, 4, 0, 0, 0, 0, 15,
 14,HQ889774/NA/NA/pigeon/2010,Recombinant, 13.4551264749573, 0, 0, 10, 0, 10, 8, 18, 8, 8, 7.02466019577362, .344827586206897, 4, 2, 0, 5, 5, 15,
 14,MW684825/NA/Chicken-NLD-2019-V-M-038-astro-6/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 6.91179042608128, 20, 10, 5, 5, 0, 0, 0, 4, 4, 6.56646325080622, 0, 0, 0, 20, 2.5, 0, 0,
 14,MW684822/NA/Chicken-NLD-2019-V-M-036-astro-4/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 9.63308309896145, 20, 10, 0, 10, 0, 4, 14, 0, 0, 6.40887655342016, 0, 2, 1, 20, 0, 0, 20,
 15,MW684823/NA/Chicken-NLD-2019-V-M-038-astro-4/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 14.8893130157755, 20, 0, 5, 5, 0, 8, 18, 4, 8, 7.64497494082548, 0, 2, 1, 10, 5, 5, 20,
 15,MT491730/NA/IBS503-2017/Gallus-gallus/2017,MajorParent, 6.4693774892111, 20, 10, 0, 0, 10, 0, 0, 0, 4, 5.58595193395745, 0, 0, 0, 20, 0, 0, 0,
 15,OR286522/NA/SDAU2022-1/chicken/2022,MinorParent, 8.6413094950134, 0, 0, 10, 10, 0, 4, 14, 8, 0, 6.76907312521707, 0, 4, 2, 0, 2.5, 5, 15,
 16,MW684822/NA/Chicken-NLD-2019-V-M-036-astro-4/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 14.8724249818234, 20, 10, 5, 10, 0, 8, 18, 4, 8, 6.84880105036025, 0, 4, 2, 20, 2.5, 5, 20,
 16,MT585643/NA/VF14-92-A2/Gallus-gallus-broiler-chicken/NA,MajorParent, .471330659911224, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6.17678174802494, 0, 0, 0, 0, 0, 0, 0,
 16,MW684825/NA/Chicken-NLD-2019-V-M-038-astro-6/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 14.6562443582654, 20, 10, 10, 5, 10, 4, 14, 8, 0, 6.97441720161481, 0, 2, 1, 20, 5, 5, 15,
 17,MN920669/NA/ybb150ast01/NA/2018,Recombinant, 18.8700807601243, 20, 10, 10, 10, 5, 8, 18, 8, 4, 8.40140047538588, .800970873786408, 2, 2, 20, 5, 0, 15,
 17,MN920668/NA/war204ast1/NA/2018,MajorParent, 4.2481079193201, 0, 0, 5, 5, 5, 4, 14, 4, 8, 4.86640330041911, .339805825242718, 0, 0, 0, 2.5, 0, 0,
 17,MN920672/NA/ytb090ast01/NA/2018,MinorParent, 6.88181132055561, 20, 5, 0, 0, 5, 0, 0, 0, 0, 6.732196224195, 0, 4, 1, 10, 0, 0, 20,
 18,MW684830/NA/Chicken-NLD-2019-V-M-046-astro-12/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 16.2888700786537, 20, 10, 10, 5, 0, 8, 18, 8, 4, 7.69127801743778, 1.35593220338983, 2, 1, 20, 2.5, 0, 0,
 18,MT491730/NA/IBS503-2017/Gallus-gallus/2017,MajorParent, 8.21199614441693, 0, 0, 5, 10, 0, 4, 14, 4, 8, 6.82642496210981, 1.1138014527845, 0, 2, 0, 5, 5, 20,
 18,OR286521/NA/SDAU2022-2/chicken/2022,MinorParent, 5.49913377692934, 0, 10, 0, 0, 10, 0, 0, 0, 0, 5.48229702045241, .968523002421308, 4, 0, 20, 0, 0, 15,
 19,PP871798/NA/astro-vt-80/Sus-scrofa-(wild-boar)/2015,Recombinant, 17.2794240951994, 20, 5, 10, 0, 10, 8, 14, 8, 8, 7.9057706297406, 1.08695652173913, 4, 2, 10, 5, 5, 20,
 19,MN732558/NA/NA/Gallus-gallus-(broiler)/2018,MajorParent, 11.0795628560978, 20, 10, 0, 10, 0, 4, 18, 0, 4, 6.34393822679118, .942028985507246, 0, 0, 20, 2.5, 0, 15,
 19,PV093022/NA/NA/Neogale-vison/2023,MinorParent, 1.64101304870276, 0, 0, 5, 5, 0, 0, 0, 4, 0, 5.75029114346822, .603864734299517, 2, 1, 0, 0, 0, 0,
 20,EU143847/NA/NA/NA/NA,Recombinant, 13.8278905383, 20, 10, 0, 0, 5, 0, 0, 0, 8, 6.54894072565494, .216867469879518, 2, 2, 20, 5, 5, 15,
 20,EU143846/NA/NA/NA/NA,MajorParent, 7.95401105529254, 10, 0, 10, 0, 5, 0, 0, 8, 4, 6.93898678404645, .289156626506024, 0, 1, 0, 2.5, 0, 0,
 20,EU143845/NA/NA/NA/NA,MinorParent, 8.21809840640747, 0, 5, 5, 0, 5, 0, 0, 4, 0, 6.51207249029861, .409638554216867, 4, 0, 20, 0, 0, 20,
 21,ON964512/NA/NA/Gallus-gallus/2020,Recombinant, 14.9018872637638, 10, 0, 10, 10, 5, 8, 18, 8, 0, 6.84899803889784, .576923076923077, 4, 2, 10, 5, 0, 0,
 21,MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 3.22311697987202, 0, 0, 5, 5, 5, 0, 0, 0, 4, 6.59895759849143, .528846153846154, 4, 0, 0, 0, 0, 0,
 21,OM469229/NA/ANV-PB23-SI7-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 11.8749957563641, 20, 10, 0, 0, 5, 4, 14, 4, 8, 6.55204436261072, .841346153846154, 4, 1, 20, 2.5, 5, 0,
 22,MW684833/NA/Chicken-NLD-2019-V-M-053-astro-2/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 15.9527051809153, 20, 1, 10, 10, 5, 8, 18, 8, 0, 6.77671136919155, .688836104513064, 4, 2, 20, 5, 0, 0,
 22,OM469229/NA/ANV-PB23-SI7-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 5.56762400424576, 0, 1, 0, 5, 5, 0, 0, 0, 8, 6.83023483799957, .593824228028504, 4, 0, 0, 0, 5, 0,
 22,MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 8.47967081483898, 20, 1, 5, 0, 5, 4, 14, 4, 4, 6.39305379280888, .855106888361045, 4, 1, 10, 2.5, 0, 0,
 23,JF414802/NA/GA2011/chicken/2007,Recombinant, 14.7015721757054, 0, 1, 10, 10, 5, 8, 18, 8, 8, 6.79059074241153, 2.35294117647059, 4, 2, 0, 5, 5, 15,
 23,MT789787/NA/CAstV-CA-SK-Chicken-19-0981-19/chicken/2019,MajorParent, 8.27777251750631, 20, 1, 5, 0, 5, 4, 14, 4, 4, 6.58791079860422, 1.41176470588235, 0, 1, 20, 2.5, 0, 0,
 23,MT789786/NA/CAstV-CA-SK-Chicken-19-0935-19/chicken/2019,MinorParent, 7.02065530678833, 10, 1, 0, 5, 5, 0, 0, 0, 0, 6.62149845898425, 1.38823529411765, 2, 0, 20, 0, 0, 20,
 24,MW353015/NA/TZ03/goose/2019,Recombinant, 19.109541771683, 20, 10, 10, 10, 0, 8, 18, 8, 8, 8.25631438287983, 0, 4, 2, 20, 5, 0, 15,
 24,OR924093/NA/NA/Goose/2021,MajorParent, 3.91551144907133, 0, 0, 0, 0, 0, 4, 14, 0, 4, 4.81053789865717, 0, 0, 0, 0, 2.5, 0, 20,
 24,NC_034567/NA/FLX/Hortobagy-goose/2014,MinorParent, 6.97494677924563, 20, 10, 5, 5, 10, 0, 0, 4, 0, 6.933147718463, 0, 2, 1, 10, 0, 0, 0,
 25,MT491731/NA/UPM1019-2018/Gallus-gallus/2018,Recombinant, 13.1647017187669, 20, 10, 0, 0, 5, 8, 18, 0, 8, 6.5076102110873, .796252927400468, 4, 2, 20, 5, 0, 0,
 25,MT789786/NA/CAstV-CA-SK-Chicken-19-0935-19/chicken/2019,MajorParent, 7.24931050444767, 0, 0, 10, 5, 5, 4, 14, 8, 4, 6.65639796436186, 0, 4, 1, 0, 2.5, 0, 0,
 25,MT789787/NA/CAstV-CA-SK-Chicken-19-0981-19/chicken/2019,MinorParent, 9.58598777678541, 20, 10, 5, 10, 5, 0, 0, 4, 0, 6.83599182455084, 0, 4, 0, 0, 0, 0, 0,
 26,MF768270/NA/NA/pigeon/2014,Recombinant, 12.8291630729437, 20, 1, 10, 5, 5, 0, 0, 8, 0, 7.68281565735515, .232558139534884, 4, 2, 20, 5, 0, 0,
 26,PX237222/NA/pigeon-FSU1/pigeon/2025,MajorParent, 9.85260513575073, 20, 1, 0, 10, 5, 4, 14, 0, 4, 6.03871510901061, 0, 4, 1, 20, 2.5, 0, 0,
 26,KT946725/NA/D10-5628-HK/spotted-dove/NA,MinorParent, 7.31823179130561, 0, 1, 5, 0, 5, 8, 18, 4, 8, 6.27846923363423, 0, 4, 0, 0, 0, 0, 0,
 27,MT585644/NA/VF16-03-164b/Gallus-gallus-broiler-chicken/2016,Recombinant, 17.2755173171002, 20, 10, 10, 10, 5, 4, 14, 8, 8, 6.83255827264334, .232018561484919, 0, 2, 20, 5, 5, 15,
 27,OM469230/NA/ANV-PB31-SI19-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 6.10567661454897, 0, 0, 0, 5, 5, 0, 0, 0, 4, 6.61841083730988, .348027842227378, 4, 0, 20, 0, 0, 20,
 27,OM469234/NA/ANV-PB1-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 6.61880606835088, 10, 10, 5, 0, 5, 8, 18, 4, 0, 6.54903089004678, .672853828306265, 0, 1, 0, 2.5, 5, 0,
 28,EU143846/NA/NA/NA/NA,Recombinant, 17.0247364177249, 20, 5, 10, 0, 0, 0, 0, 8, 8, 6.95690053103614, .645161290322581, 2, 2, 20, 2.5, 0, 0,
 28,EU143851/NA/NA/NA/NA,MajorParent, 9.31360925948574, 0, 10, 5, 0, 10, 0, 0, 4, 4, 6.3504916373916, .668202764976959, 0, 1, 0, 5, 5, 20,
 28,EU143845/NA/NA/NA/NA,MinorParent, 3.66165432278939, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.69260783157225, .645161290322581, 4, 0, 0, 0, 0, 15,
 29,KY271027/NA/FLX/Hortobagy-goose/2014,Recombinant, 14.6745924239189, 0, 1, 10, 0, 5, 0, 0, 8, 8, 7.98841734623604, 0, 0, 2, 10, 5, 5, 15,
 29,OR907134/NA/NA/Goose/2022,MajorParent, 9.79943679763527, 20, 1, 5, 0, 5, 0, 0, 4, 4, 6.10608574356511, .827586206896552, 2, 1, 20, 0, 0, 0,
 29,MH410610/NA/NA/goslings/2017,MinorParent, 5.52597077844588, 0, 1, 0, 0, 5, 0, 0, 0, 0, 5.90549691019884, 1.1264367816092, 4, 0, 0, 2.5, 5, 20,
 30,PP478076/NA/PL-pigeon-24-2023/carrier-pigeon/2023,Recombinant, 19.8340520758301, 20, 10, 0, 0, 0, 0, 0, 0, 8, 7.37636697062032, .526315789473684, 4, 0, 20, 0, 0, 20,
 30,PP478075/NA/PL-pigeon-4a-2023/carrier-pigeon/2023,MajorParent, 9.68912895062619, 10, 5, 0, 0, 10, 0, 0, 0, 4, 6.873976948611, 1.28146453089245, 0, 0, 0, 0, 0, 15,
 30,Y15936/NA/NA/turkey/NA,MinorParent, .476818973543701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74965608076867, 0, 2, 0, 0, 0, 0, 0,
 31,OR351273/NA/JS202103/Gallus-gallus/2021,Recombinant, 19.2329253010891, 20, 10, 10, 10, 5, 8, 18, 8, 8, 7.28138473761597, .11441647597254, 4, 2, 20, 2.5, 0, 20,
 31,MT789777/NA/CAstV-CA-AB-Chicken-14-1235d-14/chicken/2014,MajorParent, 8.90671561496553, 20, 10, 0, 5, 5, 4, 14, 0, 4, 6.16945587335076, 0, 0, 0, 20, 5, 0, 15,
 31,KX397576/NA/CkP5/chicken/NA,MinorParent, 1.86035908394532, 0, 0, 5, 0, 5, 0, 0, 4, 0, 6.54915938903326, 0, 0, 1, 0, 0, 0, 0,
 32,PX237222/NA/pigeon-FSU1/pigeon/2025,Recombinant, 18.0864274084241, 20, 10, 0, 0, 0, 0, 0, 0, 4, 7.32720719138718, .776255707762557, 4, 0, 20, 0, 0, 20,
 32,PP478075/NA/PL-pigeon-4a-2023/carrier-pigeon/2023,MajorParent, 11.4178883242456, 10, 5, 0, 0, 10, 0, 0, 0, 8, 6.64911877789844, 1.05022831050228, 0, 0, 10, 0, 0, 15,
 32,Y15936/NA/NA/turkey/NA,MinorParent, .495684267330225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.02367403071437, 0, 2, 0, 0, 0, 0, 0,
 33,MW684825/NA/Chicken-NLD-2019-V-M-038-astro-6/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 18.0152378486567, 20, 1, 10, 10, 5, 8, 18, 8, 4, 7.45517209215427, .0455580865603645, 0, 2, 20, 5, 5, 0,
 33,OM469229/NA/ANV-PB23-SI7-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 3.45405543232569, 0, 1, 0, 5, 5, 0, 0, 0, 8, 6.17379781918324, .683371298405467, 0, 0, 0, 0, 0, 15,
 33,MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 8.53070671901759, 10, 1, 5, 0, 5, 4, 14, 4, 0, 6.37103008866249, .774487471526196, 4, 1, 10, 2.5, 0, 20,
 34,AB033998/NA/NA/NA/NA,Recombinant, 21.7927889180634, 20, 10, 10, 10, 5, 8, 18, 8, 8, 7.72533346371916, .772727272727273, 4, 2, 20, 5, 5, 20,
 34,MN732558/NA/NA/Gallus-gallus-(broiler)/2018,MajorParent, 6.28973553413515, 10, 5, 5, 0, 5, 4, 14, 4, 4, 6.03397269422851, .886363636363636, 0, 1, 0, 0, 0, 15,
 34,OM469236/NA/ANV-PB5-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 1.91747554780145, 0, 0, 0, 5, 5, 0, 0, 0, 0, 6.24069384205233, .704545454545455, 2, 0, 10, 2.5, 0, 0,
 35,MW684818/NA/Chicken-NLD-2019-V-M-015-astro-2/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 13.3892241307082, 0, 0, 10, 10, 5, 8, 18, 8, 0, 8.13216228180592, .861678004535147, 4, 2, 0, 5, 5, 15,
 35,AB033998/NA/NA/NA/NA,MajorParent, 8.97862279516982, 10, 10, 5, 0, 5, 4, 14, 4, 8, 5.62945850350194, 0, 2, 0, 10, 0, 0, 20,
 35,OM469235/NA/ANV-PB15-HI11-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 7.63215307412202, 20, 5, 0, 5, 5, 0, 0, 0, 4, 6.23837921469214, .430839002267574, 0, 1, 20, 2.5, 5, 0,
 36,MW684825/NA/Chicken-NLD-2019-V-M-038-astro-6/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 15.1672962276894, 20, 10, 10, 0, 5, 8, 14, 8, 4, 7.64323564335166, 0, 4, 1, 20, 0, 0, 20,
 36,MW684833/NA/Chicken-NLD-2019-V-M-053-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 10.9869263645022, 20, 10, 0, 10, 5, 4, 18, 0, 8, 6.83538335828268, 0, 0, 0, 20, 2.5, 0, 0,
 36,MW684819/NA/Chicken-NLD-2019-V-M-030-astro-12/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 3.84577740780845, 0, 0, 5, 5, 5, 0, 0, 4, 0, 5.52138099836565, .247747747747748, 2, 2, 0, 5, 0, 15,
 37,PP871786/NA/astro-vt-68/Gallus-gallus/2014,Recombinant, 16.1355788685181, 20, 10, 10, 0, 0, 8, 18, 8, 0, 6.90378856033469, .0898876404494382, 4, 2, 20, 5, 5, 20,
 37,AB033998/NA/NA/NA/NA,MajorParent, 12.2233934399731, 20, 10, 5, 10, 10, 4, 14, 4, 8, 6.58764067968806, 0, 0, 0, 20, 0, 0, 15,
 37,MN732558/NA/NA/Gallus-gallus-(broiler)/2018,MinorParent, 1.64102769150883, 0, 0, 0, 5, 0, 0, 0, 0, 4, 6.50857075997725, .292134831460674, 0, 1, 0, 2.5, 5, 0,
 38,MT138002/NA/cra070ast1/NA/2018,Recombinant, 11.7720130926829, 20, 10, 0, 0, 5, 0, 0, 4, 4, 5.98629841333281, .427927927927928, 0, 2, 20, 2.5, 0, 15,
 38,MH453801/NA/AstV-Red-necked-Avocet-MW09-Interior/Red-necked-Avocet/2013,MajorParent, 10.7262200608594, 10, 10, 5, 0, 5, 0, 0, 8, 8, 5.62542079079351, .720720720720721, 4, 0, 10, 0, 0, 20,
 38,OQ685945/NA/ANV-ck-TZ-Iringa-2151-IM162-2019/Gallus-gallus/2019,MinorParent, 7.5017668464577, 0, 0, 10, 0, 5, 0, 0, 0, 0, 8.38828079587368, 0, 2, 1, 0, 5, 0, 0,
 39,MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019,Recombinant, 12.1596081681023, 0, 1, 10, 0, 5, 8, 18, 8, 8, 6.77529038181476, 0, 4, 1, 0, 5, 0, 0,
 39,MT585644/NA/VF16-03-164b/Gallus-gallus-broiler-chicken/2016,MajorParent, 10.1557618960239, 20, 1, 5, 5, 5, 4, 14, 4, 0, 6.00881500407277, 0, 4, 2, 20, 2.5, 0, 0,
 39,OM469232/NA/ANV-PB7-HI6-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,MinorParent, 7.68462993587379, 10, 1, 0, 10, 5, 0, 0, 0, 4, 7.21589461411247, .224719101123595, 4, 0, 10, 0, 0, 0,
 40,MH453801/NA/AstV-Red-necked-Avocet-MW09-Interior/Red-necked-Avocet/2013,Recombinant, 11.3078677549382, 20, 10, 10, 10, 5, 0, 0, 4, 0, 6.48242135900127, 0, 4, 2, 20, 5, 0, 0,
 40,MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019,MajorParent, 10.2190658484546, 0, 0, 5, 0, 5, 8, 18, 8, 8, 7.72953673961433, 0, 4, 0, 0, 2.5, 0, 0,
 40,MT993583/NA/MW06-2o/Arenaria-interpres-(ruddy-turnstone)/2014,MinorParent, 8.47306639660719, 20, 10, 0, 10, 5, 0, 0, 0, 4, 5.7880419013844, 0, 4, 1, 20, 0, 0, 0,
 41,MH453801/NA/AstV-Red-necked-Avocet-MW09-Interior/Red-necked-Avocet/2013,Recombinant, 17.1231753358046, 20, 10, 10, 10, 10, 4, 14, 8, 0, 8.92340499422078, 0, 4, 2, 20, 0, 0, 20,
 41,KT946723/NA/D11-336-2-HK/spotted-dove/NA,MajorParent, 3.11666743992687, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4.75084195518463, .650224215246637, 2, 0, 0, 5, 5, 15,
