sequence_nm,id,Geo location,Collection date,Country,Host,Host_species,Host_genus,Host_fam,Host_fam_ru,class,aa83_1B,aa90_1B,nt86_1B,nt80_1B
OR134526/NA/NA/Muscovy-duck/2022,OR134526,China,10-Nov-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134525/NA/NA/Muscovy-duck/2022,OR134525,China,16-Sep-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134524/NA/NA/Muscovy-duck/2022,OR134524,China,27-Nov-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134523/NA/NA/Muscovy-duck/2022,OR134523,China,12-Dec-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134522/NA/NA/Muscovy-duck/2022,OR134522,China,29-Oct-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134521/NA/NA/Muscovy-duck/2022,OR134521,China,22-Oct-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134520/NA/NA/Muscovy-duck/2022,OR134520,China,15-Oct-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134519/NA/NA/Muscovy-duck/2022,OR134519,China,12-Oct-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134518/NA/NA/Muscovy-duck/2022,OR134518,China,15-Aug-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
PV093029/NA/NA/Neogale-vison/2023,PV093029,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,35.0,2.0,1.0,1.0
PV093028/NA/NA/Neogale-vison/2023,PV093028,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,35.0,2.0,1.0,1.0
PV093027/NA/NA/Neogale-vison/2023,PV093027,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,35.0,2.0,1.0,1.0
PV093026/NA/NA/Neogale-vison/2023,PV093026,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,35.0,2.0,1.0,1.0
PV093025/NA/NA/Neogale-vison/2023,PV093025,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,35.0,2.0,1.0,1.0
PV093023/NA/NA/Neogale-vison/2023,PV093023,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,20.0,63.0,9.0,8.0
PV093022/NA/NA/Neogale-vison/2023,PV093022,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,20.0,63.0,9.0,8.0
PV093021/NA/NA/Neogale-vison/2023,PV093021,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,40.0,10.0,7.0,7.0
PV093020/NA/NA/Neogale-vison/2023,PV093020,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,40.0,10.0,7.0,7.0
PV093019/NA/NA/Neogale-vison/2023,PV093019,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,40.0,10.0,7.0,7.0
PV093018/NA/NA/Neogale-vison/2023,PV093018,China,01-Jan-2023,,Neogale vison,Neogale vison,Neogale,Mustelidae,Mustelidae (куньи),Mammalia,40.0,10.0,7.0,7.0
PQ740944/NA/CH-HBXT-2022/goose/2022,PQ740944,China,2022,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP786658/NA/JY202323/goose/2023,PP786658,China,03-Feb-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
PQ893528/NA/NSW-2021/Eolophus-roseicapilla/2021,PQ893528,Australia,Jan-2021,,Eolophus roseicapilla,Eolophus roseicapilla,Eolophus,Cacatuidae,Cacatuidae (какаду),Aves,45.0,38.0,37.0,37.0
PQ893527/NA/QLD-2021/Alisterus-scapularis/2021,PQ893527,Australia,Jan-2021,,Alisterus scapularis,Alisterus scapularis,Alisterus,Psittacidae,Psittacidae (попугаевые),Aves,46.0,40.0,39.0,38.0
PQ552759/NA/NA/duck/2024,PQ552759,China,2024,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PQ435198/NA/NA/goose/2023,PQ435198,China,2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PQ220257/NA/ASTV-1/Anser-indicus-(Bar-headed-goose)/2020,PQ220257,"China: Shigatse City, Tibet",2020-12,,Anser indicus (Bar-headed goose),Anser indicus (Bar-headed goose),Anser,Anatidae,Anatidae (утиные),Aves,49.0,45.0,44.0,43.0
PQ308726/NA/GAstV-GDFS-Goose-2024/goose/2024,PQ308726,China,2024,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP382210/NA/J2-2021/Jiangnan-White-Goose/2021,PP382210,China,14-Oct-2021,,Jiangnan White Goose,Jiangnan White Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP382209/NA/J3-2021/Jiangnan-White-Goose/2021,PP382209,China,14-Oct-2021,,Jiangnan White Goose,Jiangnan White Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
PP623814/NA/MP22-196/Mareca-falcata/2022,PP623814,China: Hong Kong,09-Nov-2022,,Mareca falcata,Mareca falcata,Mareca,Anatidae,Anatidae (утиные),Aves,4.0,53.0,53.0,51.0
OR827024/NA/GAstV-JSXZ/goose/2022,OR827024,China,06-Sep-2022,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
PP478076/NA/PL-pigeon-24-2023/carrier-pigeon/2023,PP478076,Poland,Apr-2023,,carrier pigeon,Pigeon,Columba,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,60.0,56.0
PP478075/NA/PL-pigeon-4a-2023/carrier-pigeon/2023,PP478075,Poland,May-2023,,carrier pigeon,Pigeon,Columba,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,60.0,56.0
MW588064/NA/NA/NA/NA,MW588064,United Kingdom,,,Cygnus olor,Cygnus olor,Cygnus,Anatidae,Anatidae (утиные),,52.0,48.0,47.0,46.0
MW588063/NA/NA/NA/NA,MW588063,United Kingdom,,,Cygnus olor,Cygnus olor,Cygnus,Anatidae,Anatidae (утиные),,2.0,51.0,51.0,49.0
MW588062/NA/NA/NA/NA,MW588062,United Kingdom,,,Cygnus olor,Cygnus olor,Cygnus,Anatidae,Anatidae (утиные),,2.0,51.0,51.0,49.0
PP966939/NA/GZ2301/goose/2023,PP966939,China,2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP711188/NA/Hplan-A-304122/Heteronotia-planiceps/2017,PP711188,Australia: Kimberley region Western Australia,2017,,Heteronotia planiceps,Heteronotia planiceps,Heteronotia,Gekkonidae,Gekkonidae (гекконовые),Lepidosauria,15.0,64.0,65.0,61.0
PP763758/NA/AAstV-Goose-CHN-2023-C102/goose/2023,PP763758,China: Sichuan province,Jun-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
PP444710/NA/GAstV-GDCS-Goose-2023/goose/2023,PP444710,China,2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP444709/NA/GAstV-GXNN-Goose-2023/goose/2023,PP444709,China,2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP352010/NA/Hunan-CHN-2022/Pelophylax-nigromaculatus/2022,PP352010,China: Hunan,2022,,Pelophylax nigromaculatus,Pelophylax nigromaculatus,Pelophylax,Ranidae,Ranidae (лягушковые),Amphibia,21.0,24.0,22.0,22.0
PP108251/NA/NA/goose/2023,PP108251,China: Sichuan province,15-Aug-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OR965521/NA/AAstV-Goose-CHN-2023-MG-23/goose/2023,OR965521,China,Jul-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR958817/NA/AAstV-Goose-CHN-2023-HR2306-1/goose/2023,OR958817,China,Jun-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR906208/NA/HNxy2111/goose/2021,OR906208,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR906207/NA/HNxy2106/goose/2021,OR906207,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR924093/NA/NA/Goose/2021,OR924093,China,10-May-2021,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OR924092/NA/NA/Duck/2021,OR924092,China,02-Nov-2021,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,38.0,7.0,17.0,16.0
OR924091/NA/NA/Goose/2021,OR924091,China,24-Mar-2021,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,38.0,7.0,17.0,16.0
OR924090/NA/NA/Goose/2021,OR924090,China,09-Nov-2021,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,38.0,7.0,17.0,16.0
OR924089/NA/NA/Duck/2021,OR924089,China,23-Mar-2021,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR924088/NA/NA/Duck/2021,OR924088,China,23-Mar-2021,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR924087/NA/NA/Duck/2021,OR924087,China,23-Mar-2021,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR924086/NA/NA/Duck/2021,OR924086,China,23-Mar-2021,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR907134/NA/NA/Goose/2022,OR907134,China,26-Oct-2022,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OR907133/NA/NA/Goose/2023,OR907133,China,21-Mar-2023,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OR907132/NA/NA/Goose/2023,OR907132,China,07-Mar-2023,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OR907131/NA/NA/Goose/2023,OR907131,China,21-Mar-2023,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OR907130/NA/NA/Duck/2022,OR907130,China,22-May-2022,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR907129/NA/NA/Duck/2023,OR907129,China,01-Apr-2023,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR907128/NA/NA/Duck/2023,OR907128,China,04-Apr-2023,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR907127/NA/NA/Goose/2023,OR907127,China,21-Mar-2023,,Goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR907126/NA/NA/Duck/2023,OR907126,China,29-Mar-2023,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR907125/NA/NA/Duck/2023,OR907125,China,10-May-2023,,Duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
OR902765/NA/NA/goose/2023,OR902765,China,19-Jun-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR902764/NA/NA/goose/2023,OR902764,China,21-Jun-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR902763/NA/NA/goose/2023,OR902763,China,25-Jun-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR902762/NA/NA/goose/2023,OR902762,China,10-Jul-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR902761/NA/NA/goose/2023,OR902761,China,21-Oct-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OR902760/NA/NA/goose/2023,OR902760,China,20-Mar-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,38.0,7.0,17.0,16.0
OR902759/NA/NA/goose/2023,OR902759,China,20-May-2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,38.0,7.0,17.0,16.0
OQ986679/NA/GEIG/NA/2021,OQ986679,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,,Gerygone igata,Gerygone igata,Gerygone,Acanthizidae,Acanthizidae (шипоклювковые),,19.0,22.0,20.0,20.0
OQ986609/NA/RHFU/NA/2021/reverse,OQ986609,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,,Rhipidura fuliginosa,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Rhipiduridae (веерохвостковые),,22.0,25.0,23.0,23.0
OQ986608/NA/RHFU/NA/2021,OQ986608,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,,Rhipidura fuliginosa,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Rhipiduridae (веерохвостковые),,24.0,27.0,25.0,25.0
OQ986607/NA/GEIG/NA/2021,OQ986607,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,,Gerygone igata,Gerygone igata,Gerygone,Acanthizidae,Acanthizidae (шипоклювковые),,28.0,31.0,29.0,29.0
OQ986677/NA/GEIG/NA/2021,OQ986677,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,,Gerygone igata,Gerygone igata,Gerygone,Acanthizidae,Acanthizidae (шипоклювковые),,30.0,33.0,31.0,31.0
OQ986606/NA/GEIG/NA/2021,OQ986606,New Zealand: Pukenui/Anchor Island,Feb-2021/Mar-2021,,Gerygone igata,Gerygone igata,Gerygone,Acanthizidae,Acanthizidae (шипоклювковые),,33.0,36.0,34.0,34.0
OP946449/NA/GAstV-SDHZ/laying-hens/2022,OP946449,China,2022,,laying hens,Laying hens,Gallus,Phasianidae,Phasianidae (фазановые),Aves,14.0,4.0,2.0,2.0
OR571426/NA/SDAU2022-3/chicken/2023,OR571426,China,2023,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
OR286522/NA/SDAU2022-1/chicken/2022,OR286522,China,2022,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
OR286521/NA/SDAU2022-2/chicken/2022,OR286521,China,2022,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
OR545548/NA/AAstV-Chicken-CHN-2022-SQ2201/chicken/2022,OR545548,China,2022,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,2.0,1.0,1.0
OR351273/NA/JS202103/Gallus-gallus/2021,OR351273,China,2021,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
OR211592/NA/GAstV-HBLY/goose/2023,OR211592,China,2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
MW826483/NA/YSN01/bird/2019,MW826483,China,Jul-2019,,Montifringilla taczanowskii,Montifringilla taczanowskii,Montifringilla,Passeridae,Passeridae (воробьиные),Aves,42.0,14.0,12.0,11.0
MW826482/NA/YSN02/bird/2019,MW826482,China,Jul-2019,,Montifringilla taczanowskii,Montifringilla taczanowskii,Montifringilla,Passeridae,Passeridae (воробьиные),Aves,44.0,16.0,13.0,12.0
OQ787033/NA/JL01-0801-19/goose/2019,OQ787033,China: Ji Lin Province,2019-08-01,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON400505/NA/GAstV-GD2104/goose/2021,ON400505,China,01-Dec-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OQ909424/NA/Sichuan/goose/2021,OQ909424,China,09-May-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON382522/NA/GAstV-GD2105/goose/2022,ON382522,China,15-Jan-2022,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON382521/NA/GAstV-GD2103/goose/2021,ON382521,China,16-Nov-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON382520/NA/GAstV-GD2102/goose/2021,ON382520,China,16-Nov-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON382519/NA/GAstV-GD2101/goose/2021,ON382519,China,26-Oct-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OQ685946/NA/CAstV-ck-TZ-Iringa-2151-IM162-2019/Gallus-gallus/2019,OQ685946,Tanzania: Iringa (Miomboni),11-Apr-2019,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
OQ685945/NA/ANV-ck-TZ-Iringa-2151-IM162-2019/Gallus-gallus/2019,OQ685945,Tanzania: Iringa (Miomboni),11-Apr-2019,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OP776630/NA/NA/goose/2021,OP776630,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OP776629/NA/NA/goose/2021,OP776629,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP272633/NA/AH33-3/goose/2021,OP272633,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OP169001/NA/AAstV-Chicken-CHN-2021-HA2101/chicken/2021,OP169001,China,2021,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,2.0,1.0,1.0
OP179660/NA/NA/goose/2022,OP179660,China,25-Jun-2022,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621341/NA/NA/goose/2019,OP621341,China: Shandong province,2019-10-09,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621340/NA/NA/goose/2019,OP621340,China: Jiangxi province,2019-12-02,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621339/NA/NA/goose/2019,OP621339,China: Jiangxi province,2019-12-02,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621338/NA/NA/goose/2018,OP621338,China: Jiangxi province,2018-03-29,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621337/NA/NA/goose/2018,OP621337,China: Jiangsu province,2018-02-06,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621336/NA/NA/goose/2018,OP621336,China: Hebei province,2018-04-22,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621335/NA/NA/goose/2021,OP621335,China: Anhui province,2021-05-08,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621334/NA/NA/goose/2019,OP621334,China: Anhui province,2019-11-15,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621333/NA/NA/goose-embryo/2019,OP621333,China: Jiangxi province,2019-12-16,,goose embryo,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621332/NA/NA/goose/2020,OP621332,China: Shandong province,2020-11-18,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621331/NA/NA/goose/2019,OP621331,China: Shandong province,2019-05-03,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP621330/NA/NA/goose/2021,OP621330,China: Jiangxi province,2021-03-16,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP484924/NA/NA/goose/2018,OP484924,China: Hebei province,2018-04-11,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP484923/NA/NA/goose/2018,OP484923,China: Guangdong province,2018-03-09,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON954324/NA/NA/goose/2021,ON954324,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM469237/NA/ANV-PB55-SI14-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469237,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469236/NA/ANV-PB5-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469236,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469235/NA/ANV-PB15-HI11-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469235,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469234/NA/ANV-PB1-HI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469234,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469233/NA/ANV-PB11-HI6-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469233,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469232/NA/ANV-PB7-HI6-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469232,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
