ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix
PQ110289_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289
PQ110289_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289
PQ110289_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_1,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
PQ110289_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289
OP474168_2,-,consensus disorder prediction,MobiDBLite,-,-,OP474168
OP474168_2,-,consensus disorder prediction,MobiDBLite,-,-,OP474168
PP512783_42,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
OP474168_12,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OP474168
OP474168_12,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OP474168
OP474168_12,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OP474168
OP474168_12,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168
PQ110289_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289
MN036159_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN036159
MN036159_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159
MN036159_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159
MN036159_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159
PP512783_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_10,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PP512783
PP512783_10,Viral coat protein subunit,-,Gene3D,-,-,PP512783
PQ110289_5,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ110289
PQ110289_5,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ110289
PQ110289_9,-,consensus disorder prediction,MobiDBLite,-,-,PQ110289
OP474168_4,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,OP474168
OP474168_4,-,consensus disorder prediction,MobiDBLite,-,-,OP474168
OP474168_4,-,consensus disorder prediction,MobiDBLite,-,-,OP474168
OP474168_4,-,consensus disorder prediction,MobiDBLite,-,-,OP474168
OP474168_4,-,Capsid polyprotein VP90,FunFam,-,-,OP474168
OP474168_4,Viral coat protein subunit,-,Gene3D,-,-,OP474168
PP512783_31,-,SignalP-noTM,SignalP_EUK,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_3,-,Coil,Coils,-,-,PP512783
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_3,-,Coil,Coils,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289
PQ110289_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ110289
PQ110289_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_1,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ110289
PQ110289_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
MN733910_2,MFS transporter superfamily,MFS general substrate transporter like domains,Gene3D,-,-,MN733910
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910
MN733910_2,"Sugar transporter, conserved site",Sugar transport proteins signature 1.,ProSitePatterns,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910
MN733910_2,Proton-coupled symporters,ALPHA-KETOGLUTARATE PERMEASE,PANTHER,-,-,MN733910
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN733910
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN733910
MN733910_2,"Sugar transporter, conserved site",Sugar transport proteins signature 2.,ProSitePatterns,-,-,MN733910
MN733910_2,Major facilitator superfamily domain,Major facilitator superfamily (MFS) profile.,ProSiteProfiles,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910
MN733910_2,Major facilitator superfamily,Major Facilitator Superfamily,Pfam,-,-,MN733910
MN733910_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN733910
MN733910_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN733910
MN733910_2,MFS transporter superfamily,MFS general substrate transporter,SUPERFAMILY,-,-,MN733910
PP512783_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_14,-,Coil,Coils,-,-,PP512783
MN036159_16,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN036159
MN036159_16,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN036159
MN036159_16,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN036159
MN036159_16,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN036159
PP512783_29,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OP474168
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OP474168
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OP474168
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OP474168
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OP474168
OP474168_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OP474168
OP474168_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OP474168
MN036159_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159
MN036159_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN036159
MN036159_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159
MN036159_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159
PP512783_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_2,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_2,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,OR800315
PP512783_8,-,consensus disorder prediction,MobiDBLite,-,-,PP512783
PP512783_8,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PP512783
PP512783_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
MN036159_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159
MN036159_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN036159
MN036159_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN036159
MN036159_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN036159
PP512783_6,-,ps-ssRNAv_Astroviridae_RdRp,CDD,-,-,PP512783
PP512783_6,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,PP512783
PP512783_6,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PP512783
PP512783_6,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PP512783
PP512783_19,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_19,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_19,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_24,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_24,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_24,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_24,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_4,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PP512783
PP512783_4,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PP512783
PP512783_4,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PP512783
MN036159_12,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,MN036159
MN036159_12,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,MN036159
PP512783_37,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_37,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_37,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_37,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
MN733910_4,-,consensus disorder prediction,MobiDBLite,-,-,MN733910
OR800315_3,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
OR800315_3,-,consensus disorder prediction,MobiDBLite,-,-,OR800315
MN036159_9,-,C-terminal region of a signal peptide.,Phobius,-,-,MN036159
MN036159_9,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN036159
MN036159_9,-,SignalP-noTM,SignalP_EUK,-,-,MN036159
MN036159_9,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,MN036159
MN036159_9,-,Signal peptide region,Phobius,-,-,MN036159
MN036159_9,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159
MN036159_9,-,N-terminal region of a signal peptide.,Phobius,-,-,MN036159
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035574_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035574
MN035574_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035574
MN035574_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035574
MN035574_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035574
MN035429_4,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN035429
MN035429_4,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN035429
MN035429_4,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN035429
MN034422_10,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_10,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN035574_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035574
MN035574_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035574
MN035574_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035574
MN035574_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035574
MN036159_18,-,consensus disorder prediction,MobiDBLite,-,-,MN036159
MN036159_18,-,consensus disorder prediction,MobiDBLite,-,-,MN036159
MN036159_18,-,N-terminal region of a signal peptide.,Phobius,-,-,MN036159
MN036159_18,-,C-terminal region of a signal peptide.,Phobius,-,-,MN036159
MN036159_18,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159
MN036159_18,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN036159
MN036159_18,-,Signal peptide region,Phobius,-,-,MN036159
MN035838_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_32,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN035838
MN035838_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_32,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN035838
MN035838_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_32,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN035838
MN035838_32,Viral coat protein subunit,-,Gene3D,-,-,MN035838
MN035838_32,-,consensus disorder prediction,MobiDBLite,-,-,MN035838
MN035838_32,-,consensus disorder prediction,MobiDBLite,-,-,MN035838
MN035838_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_32,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN035838
MN035838_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_22,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_22,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_22,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN034849_8,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN034849
MN034849_8,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN034849
MN034849_8,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN034849
MN034849_8,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN034849
MN035838_26,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_26,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_26,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_26,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN035574_4,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,MN035574
MN035574_4,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035574_4,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035838_16,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_16,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_16,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_16,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN035838_16,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_16,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_16,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN034849_9,-,Positive stranded ssRNA viruses,SUPERFAMILY,,NotSpecific,MN034849
