ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,class,1A,1A-strand,1B,1B-strand,2,2-strand
OR951079,OR951079.1,"MAG: Bat astrovirus isolate HB2020_303_11589 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6677,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HB2020_303_11589,China,,2020,swab,Rhinolophus ferrumequinum,Yes,3,No,No,Mammalia,31-2635,1.0,2646-4218,1.0,4159-6535,1.0
OR951072,OR951072.1,MAG: Bat astrovirus isolate GD2016_278_110098 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3658,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_278_110098,China,,2016,swab,Myotis chinensis,Yes,0,No,No,Mammalia,278-2219,1.0,2197-3658,1.0,NA-NA,
OR951069,OR951069.1,"MAG: Bat astrovirus isolate YN2017 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1905,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2017,China,,2017,swab,Rousettus leschenaultii,Yes,0,No,No,Mammalia,NA-NA,,216-1650,1.0,NA-NA,
OR951063,OR951063.1,MAG: Bat astrovirus isolate GX2017_243_49312 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1636,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2017_243_49312,China,,2017,swab,Taphozous melanopogon,Yes,0,No,No,Mammalia,NA-NA,,1-1480,1.0,1524-1540,1.0
OR951060,OR951060.1,MAG: Bat astrovirus isolate GX2016 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3485,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2016,China,,2016,swab,Taphozous melanopogon,Yes,0,No,No,Mammalia,180-1992,1.0,1991-3485,1.0,NA-NA,
OR951059,OR951059.1,MAG: Bat astrovirus isolate GD2016_230_3862 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4283,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2016_230_3862,China,,2016,swab,Miniopterus pusillus,Yes,0,No,No,Mammalia,262-2473,1.0,2472-4050,1.0,NA-NA,
OR951053,OR951053.1,"MAG: Myotis ricketti associated fish astrovirus isolate JX2020 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Myotis ricketti associated fish astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7098,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2020,China,,2020,swab,fish,Yes,3,No,No,,205-3574,1.0,3585-5022,1.0,4963-7009,1.0
OR951052,OR951052.1,MAG: Myotis ricketti associated fish astrovirus isolate GX2017 sequence,18-SEP-2025,Myotis ricketti associated fish astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4056,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2017,China,,2020,swab,fish,Yes,0,No,No,,29-2350,1.0,2320-3892,1.0,NA-NA,
OR951045,OR951045.1,MAG: Bat astrovirus isolate GD2017_207_27658 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5500,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_207_27658,China,,2017,swab,Myotis pilosus,Yes,0,No,No,Mammalia,217-2820,1.0,2822-4370,1.0,4383-5114,1.0
OR951034,OR951034.1,MAG: Bat astrovirus isolate GD2017_191_26815 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5439,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2017_191_26815,China,,2017,swab,Hipposideros larvatus,Yes,0,No,No,Mammalia,404-2312,1.0,2311-3901,1.0,3881-5439,1.0
OR951026,OR951026.1,MAG: Bat astrovirus isolate GX2017_185_6114 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6699,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2017_185_6114,China,,2017,swab,Scotophilus kuhlii,Yes,0,No,No,Mammalia,87-2685,1.0,2684-4247,1.0,4246-6427,1.0
OR951021,OR951021.1,MAG: Bat astrovirus isolate GX2019_145_83144 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6657,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2019_145_83144,China,,2019,swab,Tylonycteris pachypus,Yes,0,No,No,Mammalia,107-2648,1.0,2647-4204,1.0,4207-6352,1.0
OR951020,OR951020.1,"MAG: Bat astrovirus isolate GD2020 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1414,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GD2020,China,,2020,swab,Rhinolophus affinis,Yes,0,No,No,Mammalia,NA-NA,,64-1405,1.0,NA-NA,
OR951015,OR951015.1,"MAG: Bat astrovirus isolate YN2020_057_2377 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1744,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_057_2377,China,,2020,swab,Rhinolophus affinis,Yes,0,No,No,Mammalia,NA-NA,,139-1681,1.0,NA-NA,
OR951014,OR951014.1,MAG: Bat astrovirus isolate YN2020_057_2262 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3491,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_057_2262,China,,2020,swab,Rhinolophus affinis,Yes,0,No,No,Mammalia,0-1850,1.0,1849-3427,1.0,NA-NA,
OR951013,OR951013.1,MAG: Bat astrovirus isolate YN2020_057_1262 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2249,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_057_1262,China,,2020,swab,Rhinolophus affinis,Yes,0,No,No,Mammalia,0-724,1.0,723-2249,1.0,NA-NA,
OR951011,OR951011.1,"MAG: Bat astrovirus isolate GX2018 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1302,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2018,China,,2018,swab,Scotophilus kuhlii,Yes,1,No,No,Mammalia,NA-NA,,0-1302,1.0,NA-NA,
OR951010,OR951010.1,MAG: Bat astrovirus isolate GX2018 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3387,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,GX2018,China,,2018,swab,Scotophilus kuhlii,Yes,0,No,No,Mammalia,110-1796,1.0,1792-3352,1.0,NA-NA,
PX095800,PX095800.1,"MAG: Mamastrovirus sp. isolate DL/P.nayaur/Mav-1 nonstructural protein NSP1a and nonstructural protein NSP1ab genes, partial cds; and capsid protein precursor, gene, complete cds",18-AUG-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6441,"Zhou,H., Yang,J., Luo,X. and Xu,J.",,DL/P.nayaur/Mav-1,China,,2023,feces,Pseudois nayaur,Yes,3,No,No,Mammalia,2-2570,1.0,2587-4090,1.0,4028-6362,1.0
PX095750,PX095750.1,"MAG: Mamastrovirus sp. isolate SQ/N.fuscus/Mav ORF1ab polyprotein gene, partial cds; and ORF1ab polyprotein and capsid protein genes, complete cds",18-AUG-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,7452,"Zhou,H., Yang,J., Luo,X. and Xu,J.",,SQ/N.fuscus/Mav,China,,2023,intestinal contents,Neodon fuscus,Yes,3,No,No,Mammalia,NA-NA,,2807-4271,1.0,4263-7398,1.0
PV979747,PV979747.1,"Wenzhou rodent astrovirus 1 isolate K8f_52_Astrovirus_shrew_240620 ORF1ab protein and ORF1a protein genes, complete cds; and ORF2 protein gene, partial cds",06-AUG-2025,Wenzhou rodent astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4302,"Huangfu,H.",,K8f_52_Astrovirus_shrew_240620,China:Hainan,,2024-06-20,,Su. murinus,No,3,No,No,,7-2317,1.0,2262-3966,1.0,3760-4302,1.0
PV793827,PV793827.1,"MAG: Astroviridae sp. isolate AstroviridaeCranefe81 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",16-JUL-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7275,"Gao,J. and Ni,B.",,AstroviridaeCranefe81,China,,Jan-2024,Siberian crane feces,Leucogeranus leucogeranus,Yes,0,No,No,Aves,100-3406,1.0,3390-4938,1.0,4931-7178,1.0
PV793829,PV793829.1,"MAG: Avastrovirus sp. isolate AstroviridaeGoosefe94 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",16-JUL-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7104,"Gao,J. and Ni,B.",,AstroviridaeGoosefe94,China,,Jan-2024,wild geese feces,Anser sp.,Yes,0,No,No,Aves,42-3228,1.0,3230-4757,1.0,4683-6879,1.0
PV793828,PV793828.1,"MAG: Avastrovirus sp. isolate AstroviridaeGoosefe87 non-structural polyprotein-like, RNA-dependent RNA polymerase-like, and capsid protein-like genes, complete sequence",16-JUL-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7416,"Gao,J. and Ni,B.",,AstroviridaeGoosefe87,China,,Jan-2024,wild geese feces,Anser sp.,Yes,0,No,No,Aves,142-3511,1.0,3495-5046,1.0,4924-7243,1.0
PV793833,PV793833.1,"MAG: Astroviridae sp. isolate AstroviridaeGoosefe95V2 RNA-dependent RNA polymerase-like gene, complete sequence",16-JUL-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3061,"Gao,J. and Ni,B.",,AstroviridaeGoosefe95V2,China,,Jan-2024,wild geese feces,Anser sp.,Yes,0,No,No,Aves,NA-NA,,1600-2992,1.0,NA-NA,
PV793832,PV793832.1,"MAG: Astroviridae sp. isolate AstroviridaeGoosefe95V1 ORF1b gene, complete cds",16-JUL-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3432,"Gao,J. and Ni,B.",,AstroviridaeGoosefe95V1,China,,Jan-2024,wild geese feces,Anser sp.,Yes,1,No,No,Aves,NA-NA,,284-1823,1.0,NA-NA,
PV793831,PV793831.1,"MAG: Astroviridae sp. isolate AstroviridaeGoosefe93 RNA-dependent RNA polymerase-like gene, complete sequence",16-JUL-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4135,"Gao,J. and Ni,B.",,AstroviridaeGoosefe93,China,,Jan-2024,wild geese feces,Anser sp.,Yes,0,No,No,Aves,NA-NA,,2297-3905,1.0,NA-NA,
PQ421850,PQ421850.1,"MAG: Astrovirus sp. isolate QJ1-CWDS hypothetical protein, non-structural polyprotein 1AB, and hypothetical protein genes, complete cds",12-JUL-2025,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6768,"Yang,J.-H., Luo,C.-F., Xiang,R., Min,J.-M., Shao,Z.-T., Chen,L., Chen,W.-J., Du,C.-H. and Jiang,J.-F.",,QJ1-CWDS,China: Yunnan Province,,14-Oct-2017,,Crocidura dracula,Yes,3,No,No,Mammalia,NA-NA,,2832-4341,1.0,NA-NA,
PQ421849,PQ421849.1,MAG: Astrovirus sp. isolate YL-SCDW genomic sequence,12-JUL-2025,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6319,"Yang,J.-H., Luo,C.-F., Xiang,R., Min,J.-M., Shao,Z.-T., Chen,L., Chen,W.-J., Du,C.-H. and Jiang,J.-F.",,YL-SCDW,China: Yunnan Province,,17-Nov-2015,,Anourosorex squamipes,Yes,3,No,No,Mammalia,NA-NA,,2505-4005,1.0,NA-NA,
PQ421846,PQ421846.1,MAG: Astrovirus sp. isolate LQ4-XSQ genomic sequence,12-JUL-2025,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6085,"Yang,J.-H., Luo,C.-F., Xiang,R., Min,J.-M., Shao,Z.-T., Chen,L., Chen,W.-J., Du,C.-H. and Jiang,J.-F.",,LQ4-XSQ,China: Yunnan Province,,20-Oct-2019,,Crocidura suaveolens,Yes,3,No,No,Mammalia,3758-6082,-1.0,2103-3467,-1.0,161-1942,-1.0
PQ421841,PQ421841.1,"MAG: Astrovirus sp. isolate QJ1-CWDS hypothetical protein genes, complete cds",12-JUL-2025,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3641,"Yang,J.-H., Luo,C.-F., Xiang,R., Min,J.-M., Shao,Z.-T., Chen,L., Chen,W.-J., Du,C.-H. and Jiang,J.-F.",,QJ1-CWDS,China: Yunnan Province,,14-Oct-2017,,Crocidura dracula,Yes,2,No,No,Mammalia,356-1525,1.0,1566-3051,1.0,NA-NA,
OP556335,OP556335.1,"Dicentrarchus labrax virus isolate 16-219p ORF1a gene, partial cds; and ORF1b gene, complete cds",25-JUN-2025,Dicentrarchus labrax virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5068,"Louboutin,L., Cabon,J., Quenault,H., Lucas,P., Blanchard,Y. and Morin,T.",,16-219p,France,,Jun-2016,,Dicentrarchus labrax,No,2,No,No,Actinopteri,2-1373,1.0,1669-4546,1.0,NA-NA,
PP871881,PP871881.1,MAG: Mamastrovirus sp. isolate astro_vt_163 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,3793,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_163,Viet Nam,,29-May-2014/14-Jul-2016,"rectal swab, feces",Sus scrofa domesticus,Yes,2,No,No,Mammalia,NA-NA,,0-1473,1.0,1465-3793,1.0
PP871808,PP871808.1,MAG: Avastrovirus sp. isolate astro_vt_90 genomic sequence,14-JUN-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6652,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_90,Viet Nam,,16-Jun-2015/02-Apr-2016,rectal swab,Gallus gallus,Yes,3,No,No,Aves,0-3018,1.0,3014-4538,1.0,4605-6591,1.0
PP871787,PP871787.1,MAG: Mamastrovirus sp. isolate astro_vt_69 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,7117,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_69,Viet Nam,,27-Jan-2015/25-Feb-2016,rectal swab,Sus scrofa domesticus,Yes,3,No,No,Mammalia,202-2740,1.0,2676-4185,1.0,4177-6691,1.0
PP871761,PP871761.1,MAG: Mamastrovirus sp. isolate astro_vt_43 genomic sequence,14-JUN-2025,Mamastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6567,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_43,Viet Nam,,02-Apr-2016,rectal swab,Gallus gallus,Yes,3,No,No,Aves,6-2646,1.0,2582-4076,1.0,4068-6540,1.0
PV708886,PV708886.1,"MAG: Chenqi Marmot Astrovirus isolate Chenqi 074 nonstructural protein 1a gene, partial cds; and RNA-dependent RNA polymerase and capsid protein genes, complete cds",09-JUN-2025,Chenqi Marmot Astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6569,"Peng,M.",,Chenqi 074,China,,2023,,Marmota sibirica,Yes,3,No,No,Mammalia,2-2597,1.0,2614-4093,1.0,4085-6503,1.0
PV470470,PV470470.1,MAG: Astroviridae sp. isolate MP12.k141_82519 genomic sequence,07-JUN-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1631,"Petrone,M.E., Grove,J., Parry,R.H., Van Brussel,K., Mifsud,J.C.O., Dindar,Z., Mei,S.-Q., Shi,M., Turnbull,O.M.H., Marzinelli,E.M. and Holmes,E.C.",,MP12.k141_82519,Australia: Sydney,,24-Nov-2021,,Botrylloides leachii,Yes,1,No,No,Ascidiacea,NA-NA,,0-1631,1.0,NA-NA,
