ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
PP871808,PP871808.1,MAG: Avastrovirus sp. isolate astro_vt_90 genomic sequence,14-JUN-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6652.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_90,Viet Nam,,16-Jun-2015/02-Apr-2016,rectal swab,Gallus gallus,Yes,3.0,No,No,0-3018,1.0,3014-4538,1.0,4605-6591,1.0,Aves
PP871804,PP871804.1,MAG: Avastrovirus sp. isolate astro_vt_86 genomic sequence,14-JUN-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7369.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_86,Viet Nam,,29-May-2014/16-Mar-2015,"rectal swab, feces",Canis lupus familiaris,Yes,3.0,No,No,0-3420,1.0,3401-4961,1.0,4985-7148,1.0,Mammalia
PP871798,PP871798.1,MAG: Avastrovirus sp. isolate astro_vt_80 genomic sequence,14-JUN-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6822.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_80,Viet Nam,,09-Apr-2015/14-Apr-2015,"rectal swab, feces",Sus scrofa (wild boar),Yes,3.0,No,No,0-3021,1.0,3017-4541,1.0,4560-6609,1.0,Mammalia
PP871786,PP871786.1,MAG: Avastrovirus sp. isolate astro_vt_68 genomic sequence,14-JUN-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6791.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_68,Viet Nam,,08-Jul-2014/11-Oct-2016,rectal swab,Gallus gallus,Yes,3.0,No,No,148-3187,1.0,3183-4707,1.0,4726-6772,1.0,Aves
PV600843,PV600843.1,"Goose astrovirus isolate HNJZ-2023, complete genome",13-MAY-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7183.0,"Peng,Z.",,HNJZ-2023,China: Henan,,2023,,goose,No,3.0,No,No,18-3273,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PV524668,PV524668.1,"Goose astrovirus 2 isolate JXNC1, complete genome",23-APR-2025,Goose astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7173.0,"Zhang,F., Xie,Q. and Ye,J.",,JXNC1,China: Jiangxi,,15-Mar-2025,liver; spleen,goose,No,3.0,No,No,18-3264,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PV169360,PV169360.1,"Duck astrovirus strain HN24XY06, complete genome",05-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7755.0,"Jiao,F.",HN24XY06,,China,,2024,,duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134528,OR134528.1,"Duck astrovirus strain AHK-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",AHK-2022,,China,,26-Oct-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134527,OR134527.1,"Duck astrovirus strain JSJ-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",JSJ-2022,,China,,22-Oct-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134526,OR134526.1,"Duck astrovirus strain ZJI-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",ZJI-2022,,China,,10-Nov-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134525,OR134525.1,"Duck astrovirus strain ZJH-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",ZJH-2022,,China,,16-Sep-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134524,OR134524.1,"Duck astrovirus strain FJG-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",FJG-2022,,China,,27-Nov-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134523,OR134523.1,"Duck astrovirus strain FJF-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",FJF-2022,,China,,12-Dec-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134522,OR134522.1,"Duck astrovirus strain GDE-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",GDE-2022,,China,,29-Oct-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134521,OR134521.1,"Duck astrovirus strain GDD-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",GDD-2022,,China,,22-Oct-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134520,OR134520.1,"Duck astrovirus strain GDC-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",GDC-2022,,China,,15-Oct-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134519,OR134519.1,"Duck astrovirus strain GDB-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",GDB-2022,,China,,12-Oct-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
OR134518,OR134518.1,"Duck astrovirus strain GDA-2022, complete genome",01-APR-2025,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7754.0,"Xu,J.J.Y.",GDA-2022,,China,,15-Aug-2022,,Muscovy duck,No,3.0,No,No,22-3745,1.0,3735-5286,1.0,5309-7505,1.0,Aves
PV093029,PV093029.1,"Chicken astrovirus strain WHM13 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7485.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM13,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,10-3430,1.0,3411-4971,1.0,4995-7209,1.0,Mammalia
PV093028,PV093028.1,"Chicken astrovirus strain WHM12 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7482.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM12,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,7-3427,1.0,3408-4968,1.0,4992-7206,1.0,Mammalia
PV093027,PV093027.1,"Chicken astrovirus strain WHM11 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7480.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM11,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,10-3430,1.0,3411-4971,1.0,4995-7209,1.0,Mammalia
PV093026,PV093026.1,"Chicken astrovirus strain WHM10 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7485.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM10,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,10-3430,1.0,3411-4971,1.0,4995-7209,1.0,Mammalia
PV093025,PV093025.1,"Chicken astrovirus strain WHM09 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7481.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM09,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,8-3428,1.0,3409-4969,1.0,4993-7207,1.0,Mammalia
PV093023,PV093023.1,"Chicken astrovirus strain WHM05 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6915.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM05,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,69-3039,1.0,3107-4559,1.0,4578-6618,1.0,Mammalia
PV093022,PV093022.1,"Chicken astrovirus strain WHM01 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6919.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM01,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,74-3044,1.0,3112-4564,1.0,4583-6623,1.0,Mammalia
PV093021,PV093021.1,"Turkey astrovirus strain WHM13 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Turkey astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6966.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM13,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,0-3300,1.0,3284-4829,1.0,4847-6860,1.0,Mammalia
PV093020,PV093020.1,"Turkey astrovirus strain WHM06 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Turkey astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6922.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM06,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,125-3296,1.0,3280-4825,1.0,4843-6856,1.0,Mammalia
PV093019,PV093019.1,"Turkey astrovirus strain WHM05 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Turkey astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6960.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM05,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,125-3296,1.0,3280-4825,1.0,4843-6856,1.0,Mammalia
PV093018,PV093018.1,"Turkey astrovirus strain WHM01 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Turkey astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6963.0,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM01,,China,,01-Jan-2023,feces,Neogale vison,No,3.0,No,No,126-3297,1.0,3281-4826,1.0,4844-6857,1.0,Mammalia
PQ740944,PQ740944.1,"Goose astrovirus isolate CH/HBXT/2022, complete genome",09-FEB-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7158.0,"Li,X.Y., Liu,J.J., Li,Y., Yang,P.P. and Zhao,J.",,CH/HBXT/2022,China,,2022,kidney,goose,No,3.0,No,No,0-3255,1.0,3245-4796,1.0,4814-6929,1.0,Aves
PP786658,PP786658.1,"Goose astrovirus isolate JY202323, complete genome",03-FEB-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7252.0,"Wang,A., Wu,Z., Xie,J. and Feng,Q.",,JY202323,China,,03-Feb-2023,,goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
PQ893528,PQ893528.1,MAG: Avastrovirus isolate NSW/2021 genomic sequence,28-JAN-2025,Avastrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6894.0,"Jenns,K., Eden,J.-S., Olsson,A. and Phalen,D.",,NSW/2021,Australia,,Jan-2021,intestines,Eolophus roseicapilla,Yes,3.0,No,No,13-3109,1.0,3135-4605,1.0,4623-6681,1.0,Aves
PQ893527,PQ893527.1,MAG: Avastrovirus isolate QLD/2021 genomic sequence,28-JAN-2025,Avastrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6773.0,"Jenns,K., Eden,J.-S., Olsson,A. and Phalen,D.",,QLD/2021,Australia,,Jan-2021,intestines,Alisterus scapularis,Yes,3.0,No,No,0-2940,1.0,2936-4460,1.0,4478-6515,1.0,Aves
PQ552759,PQ552759.1,"Goose astrovirus 2 strain GD2406, complete genome",26-NOV-2024,Goose astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7183.0,"Sun,R. and Liu,H.",GD2406,,China,,2024,,duck,No,3.0,No,No,18-3273,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PQ435198,PQ435198.1,"Goose astrovirus 2 strain JL2309, complete genome",26-OCT-2024,Goose astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7183.0,"Lin,Z. and Liu,H.",JL2309,,China,,2023,tissue,goose,No,3.0,No,No,18-3273,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PQ220257,PQ220257.1,"MAG: Avastrovirus sp. isolate ASTV-1 ORF1a gene, partial cds; ORF1b gene, complete cds; and capsid protein gene, partial cds",09-OCT-2024,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,5677.0,"Sun,Y. and Yang,S.",,ASTV-1,"China: Shigatse City, Tibet",,2020-12,feces,Anser indicus (Bar-headed goose),Yes,3.0,No,No,0-2037,1.0,2186-3575,1.0,3568-5677,1.0,Aves
PQ308726,PQ308726.1,"Goose astrovirus isolate GAstV_GDFS_Goose_2024, complete genome",05-OCT-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6947.0,"Xu,P.",,GAstV_GDFS_Goose_2024,China,,2024,,goose,No,3.0,No,No,18-3273,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PP382210,PP382210.1,"Goose astrovirus isolate J2/2021, complete genome",30-AUG-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7146.0,"Guo,C. and Zhang,D.B.",,J2/2021,China,,14-Oct-2021,kidney,Jiangnan White Goose,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
PP382209,PP382209.1,"Goose astrovirus isolate J3/2021, complete genome",30-AUG-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7288.0,"Gus,C. and Zhang,D.B.",,J3/2021,China,,14-Oct-2021,kidney,Jiangnan White Goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
PP623814,PP623814.1,"Avian avastrovirus 4 isolate MP22-196, complete genome",19-AUG-2024,Avian avastrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6566.0,"Ng,Y.M.",,MP22-196,China: Hong Kong,,09-Nov-2022,,Mareca falcata,No,3.0,No,No,14-2825,1.0,2815-4315,1.0,4296-6345,1.0,Aves
OR827024,OR827024.1,"Goose astrovirus isolate GAstV-JSXZ, complete genome",19-AUG-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7299.0,"Wei,F., Tang,Y. and Diao,Y.",,GAstV-JSXZ,China,,06-Sep-2022,kidney,goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6992,1.0,Aves
PP478076,PP478076.1,"Avian astrovirus isolate PL_pigeon_24/2023, complete genome",03-AUG-2024,Avian astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6833.0,"Lukaszuk,E., Dziewulska,D., Custer,J., Kraberger,S., Varsani,A. and Stenzel,T.",,PL_pigeon_24/2023,Poland,,Apr-2023,cloacal swab,carrier pigeon,No,2.0,No,No,12-3027,1.0,3026-4550,1.0,4568-6590,1.0,Aves
PP478075,PP478075.1,"Avian astrovirus isolate PL_pigeon_4a/2023, complete genome",03-AUG-2024,Avian astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6828.0,"Lukaszuk,E., Dziewulska,D., Custer,J., Kraberger,S., Varsani,A. and Stenzel,T.",,PL_pigeon_4a/2023,Poland,,May-2023,cloacal swab,carrier pigeon,No,2.0,No,No,5-3014,1.0,3013-4537,1.0,4555-6565,1.0,Aves
MW588064,MW588064.1,"Mute swan feces associated avastrovius 2 strain Abbotsbury/A/2016 ORF1a, ORF1b, and ORF2 genes, complete cds",19-JUL-2024,Mute swan feces associated avastrovius 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7274.0,"Francois,S. and Hill,S.C.",Abbotsbury/A/2016,,United Kingdom,,,Cygnus olor fecal material,,No,3.0,No,No,9-3288,1.0,3437-4820,1.0,4813-7069,1.0,
