Position in alignment;Recombination breakpoint number (200nt win);Upper 99% CI;Lower 99% CI;Upper 95% CI;Lower 95% CI;A;B;C;D;E
205;0;9278213;3;503372;0;2;446201;0;;
207;0;8377135;3;451625;0;2;422459;0;;
209;0;7476056;3;399878;0;2;429669;0;;
211;0;6963183;2;983143;0;2;446027;0;;
213;0;6838516;2;982748;0;2;482168;0;;
215;0;6713849;2;983438;0;2;498832;0;;
217;0;6589182;2;984809;0;2;499037;0;;
219;0;6464515;2;986603;0;2;518915;0;;
221;0;6339848;3;146575;0;2;569215;0;;
223;0;6215181;3;36034;0;2;634496;0;;
225;0;6090514;3;518943;0;2;635349;0;;
227;0;5965847;3;551541;0;2;66953;0;;
229;0;5841181;3;571961;0;2;678113;0;;
231;0;5716513;3;590543;0;2;715822;0;;
233;0;5591847;3;64176;0;2;762092;0;;
235;0;5467179;3;714773;0;2;823629;0;;
237;0;5342513;3;719424;0;2;850332;0;;
239;0;5217845;3;721378;0;2;852381;0;;
241;0;5093179;3;723332;0;2;856173;0;;
243;0;4968512;3;725095;0;2;860731;0;;
245;0;4843845;3;834405;0;2;892677;0;;
247;0;4719178;3;900298;0;2;895829;0;;
249;0;4594511;3;90678;0;2;899864;0;;
251;0;4469844;3;909209;0;2;903471;0;;
253;0;4345177;3;929486;0;2;903471;0;;
255;0;422051;3;924251;0;2;908582;0;;
257;0;4095843;3;919029;0;2;940272;0;;
259;0;3971176;3;913527;0;2;96518;0;;
261;0;3846509;3;946892;0;2;969296;0;;
263;0;3721842;3;962793;0;2;969574;0;;
265;0;3597175;3;965698;0;2;970368;0;;
267;0;3472508;3;987081;0;2;976476;0;;
269;0;3347841;3;96825;0;2;991814;0;;
271;0;3223174;3;969864;0;2;991864;0;;
273;0;3098507;3;969627;0;2;99498;0;;
275;0;297384;3;969354;0;2;995401;0;;
277;0;2849173;3;969081;0;2;995823;0;;
279;0;2724506;3;968808;0;2;996244;0;;
281;0;2599839;3;968535;0;2;996666;0;;
283;0;2475172;3;96829;0;3;8538;0;;
285;0;2350505;4;152064;0;3;135273;0;;
287;0;2225838;4;45586;0;3;259173;0;;
289;0;2101171;4;505608;0;3;291403;0;;
291;0;1980186;4;500668;0;3;304991;0;;
293;0;1859201;4;491819;0;3;313228;0;;
295;0;1738216;4;487182;0;3;309523;0;;
297;0;1617231;4;491126;0;3;306175;0;;
299;0;1460248;4;514028;0;3;377777;0;;
301;0;1267266;4;539726;0;3;376321;0;;
303;0;1074285;4;775781;0;3;35342;0;;
305;0;8934169;4;632127;0;3;344421;0;;
307;0;7246624;4;618476;0;3;34443;0;;
309;0;5518606;4;570055;0;3;322029;0;;
311;0;4080471;4;531927;0;3;278648;0;;
313;0;2642337;4;52581;0;3;274559;0;;
315;0;1204202;4;511927;0;3;271263;0;;
317;0;1627029;4;492728;0;3;302686;0;;
319;0;8339425;4;277139;0;3;296054;0;;
321;0;549586;4;16692;0;3;176966;0;;
323;0;3621402;4;117465;0;3;185126;0;;
325;0;2716052;4;63418;0;3;193286;0;;
327;0;1810701;3;996914;0;3;126108;0;;
329;9.053506E-05;3;99729;0;3;53592;0;;;
331;0;3;997666;0;3;53713;0;;;
333;0;3;998026;0;3;53836;0;;;
335;0;3;99837;0;3;53961;0;;;
337;0;3;998718;0;3;54039;0;;;
339;0;4;16208;0;3;55712;0;;;
341;0;4;188813;0;3;13517;0;;;
343;0;4;37153;0;2;995437;0;;;
345;0;4;63762;0;3;35978;0;;;
347;0;4;28186;0;3;73888;0;;;
349;0;4;36526;0;3;66176;0;;;
351;0;4;40448;0;3;55845;0;;;
353;0;3;983543;0;3;86138;0;;;
355;0;3;98195;0;3;142661;0;;;
357;0;3;978288;0;3;133494;0;;;
359;0;3;972067;0;3;133881;0;;;
361;0;4;97908;0;3;135361;0;;;
363;0;4;10738;0;3;133736;0;;;
365;0;4;12627;0;3;144081;0;;;
367;0;4;14516;0;3;147573;0;;;
369;0;4;1546;0;3;209711;0;;;
371;0;4;364675;0;3;339041;0;;;
373;0;4;416147;0;3;32671;0;;;
375;0;4;395789;0;3;418056;0;;;
377;0;4;37549;0;3;425438;0;;;
379;0;4;362746;0;3;426963;0;;;
381;0;4;347365;0;3;419673;0;;;
383;0;4;334677;0;3;378242;0;;;
385;0;4;320949;0;3;400132;0;;;
387;0;4;276441;0;3;382926;0;;;
389;0;4;255155;0;3;340112;0;;;
391;0;4;562702;0;3;48717;0;;;
393;0;4;541454;0;3;476382;0;;;
395;0;4;41855;0;3;475571;0;;;
397;0;4;419224;0;3;447341;0;;;
399;0;4;40706;0;3;425372;0;;;
401;0;4;373914;0;3;430061;0;;;
403;0;4;249533;0;3;416149;0;;;
405;0;4;247883;0;3;417524;0;;;
407;0;4;246233;0;3;423252;0;;;
409;0;4;244999;0;3;44449;0;;;
411;0;4;243571;0;3;503883;0;;;
413;0;4;24195;0;3;580872;0;;;
415;0;4;270012;0;3;746814;0;;;
417;0;4;279401;0;3;776102;0;;;
419;0;4;519955;0;3;782107;0;;;
421;0;4;519174;0;3;786911;0;;;
423;0;4;602701;0;3;821552;0;;;
425;0;4;773139;0;3;864049;0;;;
427;0;4;777239;0;3;860842;0;;;
429;0;4;78134;0;3;853692;0;;;
431;0;4;783771;0;3;792525;0;;;
433;0;4;787392;0;3;776461;0;;;
435;0;4;78936;0;3;70306;0;;;
437;0;4;793117;0;3;671979;0;;;
439;0;4;796884;0;3;720515;0;;;
441;0;4;799231;0;3;734455;0;;;
443;0;4;80843;0;3;675975;0;;;
445;0;4;798614;0;3;701724;0;;;
447;0;4;799573;0;3;70096;0;;;
449;0;4;785216;0;3;711778;0;;;
451;0;4;722645;0;3;719622;0;;;
453;0;4;775328;0;3;721277;0;;;
455;0;4;774223;0;3;733203;0;;;
457;0;4;77413;0;3;742581;0;;;
459;0;4;77397;0;3;730959;0;;;
461;0;4;76821;0;3;806661;0;;;
463;0;4;767797;0;3;796145;0;;;
465;0;4;765718;0;3;880023;0;;;
467;0;4;75962;0;3;914229;0;;;
469;0;4;757742;0;3;906566;0;;;
471;0;4;747084;0;3;923156;0;;;
473;0;4;700322;0;3;922901;0;;;
475;0;4;724557;0;3;923055;0;;;
477;0;4;710049;0;3;939447;0;;;
479;0;4;735776;0;3;960843;0;;;
481;0;4;74803;0;3;997363;0;;;
483;0;4;580767;0;3;999074;0;;;
485;0;4;53876;0;3;957455;0;;;
487;0;4;501914;0;3;963056;0;;;
489;0;4;507524;0;3;946091;0;;;
491;0;4;635688;0;3;946238;0;;;
493;0;4;633999;0;3;914416;0;;;
495;0;4;640665;0;3;933837;0;;;
497;0;4;664007;0;3;945169;0;;;
499;0;4;659482;0;3;932202;0;;;
501;0;4;658978;0;3;886992;0;;;
503;0;4;658472;0;3;78601;0;;;
505;0;4;657967;0;3;698596;0;;;
507;0;4;657462;0;3;689385;0;;;
509;0;4;643162;0;3;680174;0;;;
511;0;4;603102;0;3;670963;0;;;
513;0;4;564439;0;3;661752;0;;;
515;0;4;453325;0;3;587787;0;;;
517;0;4;366429;0;3;561783;0;;;
519;0;4;366004;0;3;551916;0;;;
521;0;4;365578;0;3;542049;0;;;
523;0;4;365153;0;3;532971;0;;;
525;0;4;364728;0;3;53069;0;;;
527;0;4;364303;0;3;528408;0;;;
529;0;4;363877;0;3;502582;0;;;
531;0;4;361458;0;3;490166;0;;;
533;0;4;357643;0;3;485872;0;;;
535;0;4;354424;0;3;461653;0;;;
537;0;4;350935;0;3;386255;0;;;
539;0;4;349035;0;3;340039;0;;;
541;0;4;347058;0;3;337709;0;;;
543;0;4;317097;0;3;321332;0;;;
545;0;4;310506;0;3;324981;0;;;
547;0;4;271245;0;3;294537;0;;;
549;0;4;22474;0;3;280838;0;;;
551;0;4;73642;0;3;254821;0;;;
553;0;4;65679;0;3;218854;0;;;
555;0;4;57716;0;3;217714;0;;;
557;0;4;45939;0;3;179482;0;;;
559;0;4;22071;0;3;144933;0;;;
561;0;4;22386;0;3;11331;0;;;
563;0;4;13283;0;3;99553;0;;;
565;0;4;17;0;3;102205;0;;;
567;0;3;976238;0;3;7564;0;;;
569;0;3;935993;0;3;55125;0;;;
571;0;3;844362;0;3;9535;0;;;
573;0;3;795063;0;3;3327;0;;;
575;0;3;748902;0;3;4364;0;;;
577;0;3;657026;0;3;3368;0;;;
579;0;3;641888;0;3;3388;0;;;
581;0;3;651584;0;3;0;;;;
583;0;3;656187;0;3;3429;0;;;
585;0;3;650369;0;3;0;;;;
587;0;3;638141;0;2;995151;0;;;
589;0;3;624338;0;2;995502;0;;;
591;0;3;57852;0;2;948702;0;;;
593;0;3;575606;0;2;901955;0;;;
595;0;3;608332;0;2;831795;0;;;
597;0;3;671056;0;2;859857;0;;;
599;0;3;640073;0;2;871762;0;;;
601;0;3;625453;0;2;9061;0;;;
603;0;3;628222;0;2;923187;0;;;
605;0;3;630985;0;2;921021;0;;;
607;0;3;570923;0;2;923491;0;;;
609;0;3;599595;0;2;923588;0;;;
611;0;3;623402;0;2;927917;0;;;
613;0;1421985;3;673433;0;2;956275;0;;
615;0;4359693;3;421379;0;2;959065;0;;
617;0;7391138;3;551702;0;2;959088;0;;
619;0;1042258;3;646747;0;2;945501;0;;
621;0;8837678;3;755149;0;2;941159;0;;
623;0;2517357;3;783047;0;2;923969;0;;
625;0;7803407;3;822025;0;2;911553;0;;
627;0;1423803;3;823776;0;2;916985;0;;
629;0;2067264;3;818164;0;2;917805;0;;
631;0;2710726;3;812551;0;2;915904;0;;
633;0;3354188;3;806939;0;2;914002;0;;
635;0;399765;3;801326;0;2;917461;0;;
637;0;4641111;3;753184;0;2;924154;0;;
639;0;5284573;3;645087;0;2;905761;0;;
641;0;5928035;3;648781;0;2;899028;0;;
643;0;7496873;3;654017;0;2;877435;0;;
645;0;8368402;3;581028;0;2;86101;0;;
647;0;8542624;3;539542;0;2;787272;0;;
649;0;8716845;3;503146;0;2;754153;0;;
651;0;8891066;3;487162;0;2;788159;0;;
653;0;9065288;3;466731;0;2;83958;0;;
655;0;945514;3;479834;0;2;874171;0;;
657;0;9470487;3;436886;0;2;805829;0;;
659;0;9485833;3;429198;0;2;771192;0;;
661;0;9501179;3;347765;0;2;753128;0;;
663;0;9516526;3;35944;0;2;719382;0;;
665;0;9531872;3;378932;0;2;679045;0;;
667;0;9547219;3;380429;0;2;608321;0;;
669;0;9562565;3;381606;0;2;676763;0;;
671;0;9577911;3;385162;0;2;666574;0;;
673;0;9593258;3;315546;0;2;67106;0;;
675;0;9608604;3;387539;0;2;631254;0;;
677;0;9623951;3;411588;0;2;679262;0;;
679;0;9639297;3;201961;0;2;621632;0;;
681;0;9654644;3;186738;0;2;518443;0;;
683;0;9732595;3;236679;0;2;557934;0;;
685;0;9839023;3;217945;0;2;559062;0;;
687;0;9858839;3;195781;0;2;441306;0;;
689;0;9878654;3;194139;0;2;447749;0;;
691;0;9894526;3;226104;0;2;447069;0;;
693;0;991723;3;189733;0;2;454219;0;;
695;0;9935628;3;247091;0;2;568422;0;;
697;0;9946963;3;19462;0;2;568655;0;;
699;0;9958792;3;211784;0;2;600547;0;;
701;0;9990059;3;3827;0;2;679667;0;;
703;1;2648;3;507169;0;2;722337;0;;
705;1;6298;3;581441;0;2;754674;0;;
707;1;24403;3;821652;0;2;779822;0;;
709;1;25943;3;825557;0;2;779925;0;;
711;1;27483;3;829463;0;2;780028;0;;
713;1;29024;3;833369;0;2;78013;0;;
715;1;30564;3;837274;0;2;781034;0;;
717;1;32104;3;84118;0;2;785315;0;;
719;1;33644;3;845086;0;2;808689;0;;
721;1;35184;3;848991;0;2;823171;0;;
723;1;36724;3;852897;0;2;823242;0;;
725;1;38265;3;856803;0;2;878812;0;;
727;1;39805;3;860708;0;2;922982;0;;
729;1;41345;3;864614;0;2;931482;0;;
731;1;65444;3;876065;0;2;963518;0;;
733;1;70936;3;87701;0;2;969025;0;;
735;1;76429;3;877811;0;2;97366;0;;
737;1;81921;3;878613;0;2;977248;0;;
739;1;87414;3;881887;0;2;981236;0;;
741;1;115157;3;950058;0;2;995231;0;;
743;1;125511;3;986242;0;2;997616;0;;
745;1;135865;3;992199;0;2;99947;0;;
747;1;169667;3;999123;0;2;999749;0;;
749;1;20698;4;204642;0;3;0;;;
751;1;21546;4;208453;0;3;0;;;
753;1;22394;4;212264;0;3;0;;;
755;1;232421;4;216075;0;3;0;;;
757;1;240901;4;219886;0;3;20359;0;;
759;1;249381;4;223697;0;3;35652;0;;
761;1;257861;4;227508;0;3;50945;0;;
763;1;266342;4;231319;0;3;66238;0;;
765;1;274822;4;23513;0;3;81531;0;;
767;1;313541;4;238379;0;3;103428;0;;
769;1;352261;4;24515;0;3;190133;0;;
771;1;580829;4;252677;0;3;240683;0;;
773;1;72066;4;255252;0;3;246371;0;;
775;1;778014;4;190752;0;3;239228;0;;
777;1;835368;4;97783;0;3;23617;0;;
779;1;892722;4;62625;0;3;230213;0;;
781;1;926875;4;52358;0;3;247091;0;;
783;1;937828;4;10324;0;3;327793;0;;
785;1;94878;4;153823;0;3;39331;0;;
787;1;951177;4;202173;0;3;424107;0;;
789;1;953575;4;220212;0;3;479528;0;;
791;1;955972;4;239143;0;3;552572;0;;
793;1;958369;4;397069;0;3;535865;0;;
795;1;959956;4;33278;0;3;522703;0;;
797;1;960732;4;313391;0;3;477731;0;;
799;1;961508;4;258799;0;3;489074;0;;
801;1;962284;4;232889;0;3;500418;0;;
803;1;96306;4;20203;0;3;50887;0;;
805;1;963836;4;180079;0;3;554632;0;;
807;1;964612;4;16629;0;3;552952;0;;
809;1;965388;4;30932;0;3;551439;0;;
811;1;966164;4;299761;0;3;54059;0;;
813;1;966798;4;138236;0;3;532569;0;;
815;1;967281;4;129861;0;3;418124;0;;
817;1;969102;4;116119;0;3;347713;0;;
819;1;970922;4;116096;0;3;364518;0;;
821;1;965251;4;123487;0;3;348242;0;;
823;1;949993;4;173594;0;3;407311;0;;
825;1;897163;4;193209;0;3;411891;0;;
827;1;832847;4;19569;0;3;388567;0;;
829;1;768532;4;198168;0;3;389068;0;;
831;1;704216;4;200647;0;3;389568;0;;
833;1;639901;4;203126;0;3;390069;0;;
835;1;575586;4;205605;0;3;38809;0;;
837;1;51127;4;208083;0;3;372337;0;;
839;1;446955;4;210562;0;3;346385;0;;
841;1;382639;4;213041;0;3;329209;0;;
843;1;225786;4;20196;0;3;292782;0;;
845;1;138664;4;185942;0;3;27458;0;;
847;1;121273;4;147624;0;3;257701;0;;
849;1;103881;4;13943;0;3;257878;0;;
851;1;8649;4;139533;0;3;221482;0;;
853;1;69098;4;139636;0;3;161738;0;;
855;1;30144;4;138118;0;3;134505;0;;
857;1;2864;4;12498;0;3;126158;0;;
859;1;27136;4;21379;0;3;122105;0;;
861;1;25632;4;21093;0;3;120799;0;;
863;1;24128;3;96557;0;3;112106;0;;
865;1;22624;3;860565;0;3;98252;0;;
867;1;21121;3;845084;0;3;75262;0;;
869;1;19617;3;829535;0;3;50014;0;;
871;1;18113;3;823615;0;3;7303;0;;
873;1;16609;3;81481;0;2;999752;0;;
875;1;15105;3;792238;0;2;9922;0;;
877;1;13601;3;779791;0;2;971237;0;;
879;1;12097;3;776121;0;2;971243;0;;
881;1;10593;3;772451;0;2;968378;0;;
883;1;2829;3;755746;0;2;964868;0;;
885;0;9922169;3;719023;0;2;95497;0;;
887;0;9902661;3;695935;0;2;938632;0;;
889;0;9883153;3;665114;0;2;930397;0;;
891;0;9867589;3;630497;0;2;929735;0;;
893;0;9845192;3;604961;0;2;902622;0;;
895;0;9827102;3;423779;0;2;839417;0;;
897;0;9816074;3;406081;0;2;778992;0;;
899;0;9804553;3;404295;0;2;772264;0;;
901;0;9773594;3;400101;0;2;729939;0;;
903;0;9737483;3;300517;0;2;654506;0;;
905;0;9701287;3;73671;0;2;590651;0;;
907;0;9520544;2;96287;0;2;515239;0;;
909;0;950545;2;961805;0;2;511203;0;;
911;0;9490356;2;96074;0;2;507166;0;;
913;0;9475262;2;959675;0;2;504168;0;;
915;0;9460168;2;95861;0;2;501281;0;;
917;0;9445074;2;957545;0;2;492197;0;;
919;0;942998;2;95648;0;2;491019;0;;
921;0;9414886;2;955415;0;2;486983;0;;
923;0;9399791;2;95435;0;2;482946;0;;
925;0;9384698;2;953285;0;2;467071;0;;
927;0;9369603;2;95222;0;2;465562;0;;
929;0;935451;2;951155;0;2;464054;0;;
931;0;9113827;2;940399;0;2;364955;0;;
933;0;905921;2;934282;0;2;33757;0;;
935;0;9004593;2;926915;0;2;307128;0;;
937;0;8949976;2;919547;0;2;297373;0;;
939;0;8895358;2;907461;0;2;193763;0;;
941;0;8618231;2;887034;0;2;11804;0;;
943;0;8514997;2;865642;0;1;983371;0;;
945;0;8411763;2;836513;0;1;968384;0;;
947;0;8074051;2;703789;0;1;961457;0;;
949;0;7701232;2;446967;0;1;939185;0;;
951;0;7616737;2;389711;0;1;934022;0;;
953;0;7532243;2;359597;0;1;924226;0;;
955;0;7447748;2;341236;0;1;920182;0;;
957;0;7363253;2;333605;0;1;920301;0;;
959;0;7278759;2;325975;0;1;92042;0;;
961;0;7194264;2;318344;0;1;920539;0;;
963;0;7109769;2;310714;0;1;899122;0;;
965;0;7025275;2;303083;0;1;874219;0;;
967;0;6638387;2;215848;0;1;857727;0;;
969;0;62515;2;179487;0;1;833557;0;;
971;0;3966126;2;138252;0;1;721239;0;;
973;0;2568122;2;3248;0;1;627523;0;;
975;0;1994891;1;974797;0;1;611955;0;;
977;0;1421659;1;963096;0;1;596386;0;;
979;0;8484276;1;962589;0;1;554385;0;;
981;0;5072023;1;932061;0;1;493061;0;;
983;0;3979832;1;891334;0;1;414621;0;;
985;0;288764;1;871108;0;1;342682;0;;
987;0;2650996;1;818701;0;1;249789;0;;
989;0;2414352;1;800526;0;1;161342;0;;
991;0;2177707;1;780514;0;1;89852;0;;
993;0;1941063;1;610549;0;1;34928;0;;
995;0;1785473;1;562773;0;1;11888;0;;
997;0;1710938;1;512842;0;0;9935614;0;;
999;0;1636404;1;47009;0;0;9872745;0;;
1001;0;1561869;1;415135;0;0;9853733;0;;
1003;0;1487334;1;354205;0;0;9546639;0;;
1005;0;14128;1;159349;0;0;9035487;0;;
1007;0;1338265;1;27349;0;0;8641031;0;;
1009;0;126373;0;924855;0;0;7766877;0;;
1011;0;1189196;0;9166819;0;0;7163198;0;;
1013;0;1114661;0;9036339;0;0;6283383;0;;
1015;0;1040126;0;8745255;0;0;5597531;0;;
1017;0;8308003;0;7396727;0;0;4995092;0;;
1019;0;6214743;0;7364085;0;0;4502555;0;;
1021;0;4121484;0;6062548;0;0;3733718;0;;
1023;0;3074854;0;3732208;0;0;184238;0;;
1025;0;3074854;0;3451394;0;0;1698368;0;;
1027;0;3074854;0;3451394;0;0;1698368;0;;
1029;0;3074854;0;3451394;0;0;1698368;0;;
1031;0;3074854;0;3451394;0;0;1698368;0;;
1033;0;3074854;0;3451394;0;0;1698368;0;;
1035;0;3074854;0;3451394;0;0;1698368;0;;
1037;0;3074854;0;3451394;0;0;1698368;0;;
1039;0;3074854;0;3451394;0;0;1698368;0;;
1041;0;3074854;0;3451394;0;0;1698368;0;;
1043;0;3074854;0;3451394;0;0;1698368;0;;
1045;0;3074854;0;3451394;0;0;1698368;0;;
1047;0;3074854;0;3451394;0;0;1698368;0;;
1049;0;3074854;0;3451394;0;0;1698368;0;;
1051;0;3074854;0;3451394;0;0;1698368;0;;
1053;0;3074854;0;3451394;0;0;1698368;0;;
1055;0;3074854;0;3451394;0;0;1698368;0;;
1057;0;3074854;0;3451394;0;0;1698368;0;;
1059;0;3074854;0;3451394;0;0;1698368;0;;
1061;0;3074854;0;3451394;0;0;1698368;0;;
1063;0;3074854;0;3451394;0;0;1698368;0;;
1065;0;3074854;0;3451394;0;0;1698368;0;;
1067;0;3074854;0;3451394;0;0;1698368;0;;
1069;0;3074854;0;3451394;0;0;1698368;0;;
1071;0;3074854;0;3451394;0;0;1698368;0;;
1073;0;3074854;0;3451394;0;0;1698368;0;;
1075;0;3074854;0;3451394;0;0;1698368;0;;
1077;0;3074854;0;3451394;0;0;1698368;0;;
1079;0;3074854;0;3451394;0;0;1698368;0;;
1081;0;3074854;0;3451394;0;0;1698368;0;;
1083;0;3074854;0;3451394;0;0;1698368;0;;
1085;0;3074854;0;3451394;0;0;1698368;0;;
1087;0;3074854;0;3451394;0;0;1698368;0;;
1089;0;3074854;0;3451394;0;0;1698368;0;;
1091;0;3074854;0;3451394;0;0;1698368;0;;
1093;0;3074854;0;3451394;0;0;1698368;0;;
1095;0;3074854;0;3451394;0;0;1698368;0;;
1097;0;3074854;0;3451394;0;0;1698368;0;;
1099;0;3074854;0;3451394;0;0;1698368;0;;
1101;0;3074854;0;3451394;0;0;1698368;0;;
1103;0;3074854;0;3451394;0;0;1698368;0;;
1105;0;3074854;0;3451394;0;0;1698368;0;;
1107;0;3074854;0;3451394;0;0;1698368;0;;
1109;0;3074854;0;3451394;0;0;1698368;0;;
1111;0;3074854;0;3451394;0;0;1698368;0;;
1113;0;3074854;0;3451394;0;0;1698368;0;;
1115;0;3074854;0;3451394;0;0;1698368;0;;
1117;0;3074854;0;3451394;0;0;1698368;0;;
1119;0;3074854;0;3451394;0;0;1698368;0;;
1121;0;3074854;0;3451394;0;0;1698368;0;;
1123;0;3074854;0;3451394;0;0;1698368;0;;
1125;0;3074854;0;3451394;0;0;1698368;0;;
1127;0;3074854;0;3451394;0;0;1698368;0;;
1129;0;3074854;0;3451394;0;0;1698368;0;;
1131;0;3074854;0;3451394;0;0;1698368;0;;
1133;0;3074854;0;3451394;0;0;1698368;0;;
1135;0;3074854;0;3451394;0;0;1698368;0;;
1137;0;3074854;0;3451394;0;0;1698368;0;;
1139;0;3074854;0;3451394;0;0;1698368;0;;
1141;0;3074854;0;3451394;0;0;1698368;0;;
1143;0;3074854;0;3451394;0;0;1698368;0;;
1145;0;3074854;0;3451394;0;0;1698368;0;;
1147;0;3074854;0;3451394;0;0;1698368;0;;
1149;0;3074854;0;3451394;0;0;1698368;0;;
1151;0;3074854;0;3451394;0;0;1698368;0;;
1153;0;3074854;0;3451394;0;0;1698368;0;;
1155;0;3074854;0;3451394;0;0;1698368;0;;
1157;0;3074854;0;3451394;0;0;1698368;0;;
1159;0;3074854;0;3451394;0;0;1698368;0;;
1161;0;3074854;0;3451394;0;0;1698368;0;;
1163;0;3074854;0;3732208;0;0;1823594;0;;
1165;0;3074854;0;7870494;0;0;4770539;0;;
1167;0;4712314;0;9807397;0;0;6545002;0;;
1169;0;7987236;1;93956;0;0;7028648;0;;
1171;0;9894509;1;185028;0;0;7860811;0;;
1173;0;1180178;1;262027;0;0;8935115;0;;
1175;0;1727091;1;438331;0;0;9801258;0;;
1177;0;1964125;1;45912;0;0;9845234;0;;
1179;0;2095094;1;609589;0;0;9984745;0;;
1181;0;2119999;1;755669;0;1;48921;0;;
1183;0;2144903;1;849622;0;1;64864;0;;
1185;0;2169159;1;89083;0;1;104627;0;;
1187;0;2192768;1;912266;0;1;113709;0;;
1189;0;2206599;1;921304;0;1;124938;0;;
